frame,c1,c2,c3
1,-0.34367329301536237,-0.5045914223492273,-0.40707771186702224
2,-0.281996111759022,-0.5731244197988761,-0.43095488962881867
3,-0.21295397891056955,-0.6066433879161842,-0.4192207454803282
4,-0.18254515540559466,-0.6480804871448574,-0.3784469277204887
5,-0.15666328866043822,-0.6005946618291281,-0.3073867239595513
6,-0.10909157630948745,-0.5833822663773595,-0.32225837268195745
7,-0.09248205722312222,-0.5430750881575687,-0.3071803887690517
8,-0.13518640281044808,-0.4536422260115898,-0.29600132520256744
9,-0.19661728377019203,-0.3715538878227041,-0.19180671017432427
10,-0.20350613384114732,-0.3275963688476854,-0.2284405876635861
11,-0.2425850724943799,-0.30591988945640786,-0.23667369773068303
12,-0.22941383813944527,-0.32305334245339395,-0.3735268287453131
13,-0.22025401067957748,-0.2832548964697508,-0.4189709846810151
14,-0.15495594115602424,-0.33687333883648213,-0.49726395830210335
15,-0.16240883951022328,-0.3808154792582588,-0.5018135689323661
16,-0.18032495841505528,-0.3993426686838243,-0.45156294248009127
17,-0.12116994229438378,-0.4097250863458259,-0.4325210590843265
18,-0.11874959347484373,-0.3488637917623533,-0.3963991040707799
19,-0.12441931969583951,-0.37199946230633846,-0.4242272733795875
20,-0.18819285680887105,-0.3792641573810162,-0.4171131500554594
21,-0.2302876122375331,-0.39864082206846163,-0.3935592417269159
22,-0.27888061225536837,-0.353458493070335,-0.32003553289480474
23,-0.3120215563072088,-0.30223014406983834,-0.2529678214131039
24,-0.32746682249421366,-0.25802023646507427,-0.22559819093192532
25,-0.26716428433551737,-0.2920658079330279,-0.2365876940686842
26,-0.24591456372141127,-0.3527506703403593,-0.2639700718446179
27,-0.1778637020509023,-0.37773268477847916,-0.21126129915465577
28,-0.16945993185189642,-0.34488789642969603,-0.15371205417159436
29,-0.16503104226803259,-0.3228987754276623,-0.1203679806885234
30,-0.18929179624272233,-0.3277862499967633,-0.08655782753891482
31,-0.21604052233114227,-0.31987112715203836,-0.07744019706090166
32,-0.2653854216756378,-0.33456673848457497,-0.04624329881534214
33,-0.3172128468336747,-0.34648602466641854,-0.03578108472258852
34,-0.3776387989421336,-0.40887906518743045,-0.0308082323117727
35,-0.3753607919009858,-0.4347831048925707,-0.04491167953446296
36,-0.4702808673922481,-0.3418257295711481,-0.06901192144501339
37,-0.5550796117287128,-0.25662260865472986,-0.10457246583245626
38,-0.6276840739181522,-0.1888008815009662,-0.1299753281151199
39,-0.6795925169516239,-0.20924571188169783,-0.11700054846193811
