frame,f1,f2,f3,f4,f5,f6
1,0.79,0.0,0.3,1.59,1.95,0.9
2,0.86,0.07,0.59,1.91,1.88,1.41
3,0.87,0.07,0.7,2.06,1.81,1.76
4,0.75,0.04,0.64,2.04,1.68,1.85
5,0.54,0.01,0.62,1.95,1.55,1.74
6,0.49,0.01,0.53,1.96,1.56,1.65
7,0.55,0.06,0.55,1.96,1.68,1.64
8,0.5,0.06,0.5,2.08,1.66,1.79
9,0.35,0.06,0.64,2.03,1.49,1.77
10,0.3,0.04,0.71,1.89,1.44,1.65
11,0.31,0.08,0.81,1.85,1.39,1.69
12,0.4,0.14,0.96,1.89,1.5,1.72
13,0.38,0.16,1.08,2.06,1.45,1.8
14,0.48,0.11,1.04,2.04,1.53,1.83
15,0.5,0.03,0.95,2.06,1.56,1.93
16,0.5,0.0,0.86,1.94,1.53,2.11
17,0.27,0.0,0.77,1.69,1.09,2.07
18,0.1,0.0,0.71,1.46,0.65,2.05
19,0.01,0.0,0.79,1.33,0.54,1.9
20,0.2,0.0,0.76,1.4,0.95,1.82
21,0.55,0.0,0.67,1.26,1.51,1.41
22,0.64,0.0,0.36,1.14,1.68,1.04
23,0.53,0.0,0.2,1.07,1.52,0.81
24,0.38,0.0,0.24,1.26,1.37,1.02
25,0.46,0.0,0.36,1.47,1.41,1.33
26,0.68,0.0,0.5,1.57,1.68,1.45
27,0.86,0.0,0.41,1.64,1.89,1.5
28,1.03,0.0,0.41,1.71,2.16,1.49
29,0.98,0.0,0.46,1.9,2.09,1.53
30,0.81,0.0,0.5,1.88,1.88,1.48
31,0.64,0.0,0.41,1.75,1.68,1.42
32,0.57,0.0,0.35,1.51,1.69,1.45
33,0.55,0.01,0.43,1.53,1.74,1.45
34,0.59,0.01,0.56,1.62,1.74,1.46
35,0.69,0.02,0.47,1.8,1.8,1.48
36,0.92,0.06,0.64,1.69,1.93,1.51
37,0.99,0.06,0.74,1.55,2.02,1.55
38,0.75,0.04,1.0,1.24,1.69,1.55
39,0.33,0.0,1.01,1.08,1.24,1.69
40,0.28,0.0,1.21,1.23,1.1,1.98
41,0.52,0.0,1.36,1.47,1.39,2.35
42,0.76,0.0,1.32,1.97,1.75,2.63
43,0.68,0.0,1.24,2.26,1.78,2.7
44,0.5,0.0,1.2,2.72,1.59,2.78
45,0.27,0.0,1.23,2.72,1.27,2.97
46,0.09,0.0,1.23,2.76,1.02,3.19
47,0.0,0.0,1.22,2.62,0.99,3.42
48,0.01,0.0,1.04,2.43,1.05,3.23
49,0.13,0.0,0.96,2.24,1.19,2.97
50,0.27,0.0,0.84,2.09,1.29,2.4
51,0.37,0.0,0.81,2.13,1.36,2.2
52,0.53,0.0,0.81,2.18,1.53,2.04
53,0.68,0.0,0.81,2.18,1.72,2.05
54,0.9,0.0,0.88,2.14,2.0,1.87
55,1.11,0.02,0.81,1.96,2.3,1.7
56,1.11,0.02,0.82,1.82,2.38,1.63
57,1.2,0.02,0.83,1.71,2.5,1.62
58,0.94,0.0,0.87,1.67,2.2,1.5
59,0.92,0.0,0.71,1.57,2.15,1.39
60,0.84,0.0,0.56,1.51,2.05,1.4
61,0.75,0.0,0.45,1.42,1.87,1.51
62,0.46,0.0,0.66,1.32,1.41,1.56
63,0.13,0.0,0.94,1.19,0.9,1.46
64,0.0,0.0,1.37,1.14,0.69,1.51
65,0.0,0.0,1.54,1.2,0.74,1.76
66,0.06,0.0,1.49,1.34,0.99,2.03
67,0.2,0.0,1.17,1.53,1.27,2.24
68,0.32,0.0,1.01,1.79,1.45,2.4
69,0.42,0.0,0.89,1.86,1.57,2.13
70,0.4,0.0,0.89,1.79,1.62,1.78
71,0.44,0.0,0.72,1.7,1.72,1.52
72,0.57,0.0,0.66,1.55,1.8,1.51
73,0.43,0.0,0.82,1.33,1.52,1.61
