zoom,phase,beeps,score,f1,f2,f3,f4,f5,f6
False,instructional_video_0,,,0.0011,0.0667,0.0329,0.0331,0.0381,0.0275
False,discussion_phase_0,,,0.0002,0.0698,0.0275,0.0178,0.0226,0.0128
False,reschu_run_0,False,9,0.0008,0.0692,0.022,0.0247,0.0384,0.0319
False,reschu_run_1,True,12,0.001,0.0437,0.0251,0.0325,0.0367,0.0301
False,reschu_run_2,False,15,0.0011,0.047,0.0234,0.0282,0.0401,0.0282
False,reschu_run_3,True,20,0.0012,0.0353,0.0246,0.0337,0.0463,0.0342
False,discussion_phase_1,,,0.0002,0.0905,0.0202,0.0155,0.0178,0.0089
False,reschu_run_4,False,21,0.0014,0.0464,0.0258,0.0321,0.0792,0.0287
False,reschu_run_5,True,6,0.001,0.05,0.0224,0.0325,0.0558,0.0282
False,reschu_run_6,False,24,0.0007,0.045,0.0267,0.0363,0.0184,0.0371
False,reschu_run_7,True,14,0.0012,0.0533,0.0217,0.0305,0.0669,0.0304
