frame,f1,f2,f3,f4,f5,f6
1,0.37,0.22,2.66,0.31,0.37,0.23
2,0.33,0.07,2.63,0.16,0.26,0.14
3,0.3,0.0,2.72,0.06,0.17,0.07
4,0.26,0.0,2.87,0.06,0.11,0.07
5,0.33,0.0,2.9,0.0,0.16,0.06
6,0.47,0.0,2.77,0.0,0.31,0.05
7,0.68,0.0,2.49,0.0,0.52,0.11
8,0.67,0.0,2.12,0.07,0.55,0.27
9,0.65,0.02,1.83,0.12,0.53,0.43
10,0.63,0.02,1.75,0.16,0.52,0.54
11,0.59,0.02,1.64,0.18,0.48,0.57
12,0.47,0.0,1.56,0.29,0.4,0.76
13,0.33,0.0,1.44,0.39,0.3,0.89
14,0.24,0.0,1.37,0.49,0.2,1.0
15,0.25,0.0,1.36,0.53,0.19,1.04
16,0.17,0.0,1.32,0.58,0.1,1.04
17,0.14,0.0,1.25,0.59,0.1,1.03
18,0.06,0.0,1.07,0.58,0.03,1.06
19,0.03,0.0,0.93,0.59,0.0,1.25
20,0.03,0.0,0.96,0.64,0.0,1.42
21,0.09,0.0,1.2,0.59,0.07,1.35
22,0.21,0.01,1.35,0.56,0.21,1.26
23,0.33,0.03,1.48,0.45,0.33,1.08
24,0.26,0.15,1.43,0.36,0.26,0.88
25,0.2,0.28,1.53,0.26,0.2,0.62
26,0.15,0.41,1.58,0.18,0.12,0.56
27,0.17,0.5,1.75,0.14,0.13,0.65
28,0.1,0.54,1.65,0.15,0.06,0.66
29,0.04,0.61,1.3,0.16,0.02,0.5
30,0.0,0.59,0.76,0.14,0.0,0.26
31,0.0,0.55,0.32,0.09,0.0,0.15
32,0.0,0.45,0.12,0.06,0.0,0.06
33,0.0,0.32,0.04,0.14,0.0,0.14
34,0.0,0.22,0.01,0.24,0.0,0.24
35,0.09,0.13,0.04,0.48,0.0,0.49
36,0.16,0.09,0.2,0.7,0.0,0.77
37,0.26,0.03,0.47,0.85,0.01,0.92
38,0.3,0.0,0.93,0.76,0.01,0.92
39,0.34,0.0,1.63,0.54,0.01,0.8
40,0.35,0.09,2.46,0.37,0.0,0.74
41,0.28,0.1,2.79,0.27,0.0,0.71
42,0.2,0.2,2.66,0.35,0.0,0.8
43,0.12,0.2,1.9,0.63,0.0,1.27
44,0.15,0.48,1.21,0.87,0.0,1.73
45,0.16,0.57,0.64,1.02,0.0,2.12
46,0.18,0.77,0.54,0.91,0.0,1.99
47,0.15,0.67,0.57,0.89,0.0,1.8
48,0.11,0.55,0.68,0.8,0.0,1.51
49,0.07,0.38,0.69,0.7,0.0,1.28
50,0.08,0.25,0.67,0.65,0.0,1.01
51,0.17,0.21,0.51,0.66,0.0,1.0
52,0.27,0.13,0.52,0.82,0.0,1.13
53,0.33,0.14,0.46,0.9,0.0,1.21
54,0.41,0.1,0.58,1.08,0.0,1.12
55,0.47,0.06,0.61,1.02,0.0,0.88
56,0.54,0.01,0.93,1.12,0.0,0.86
57,0.57,0.01,1.14,1.1,0.0,0.89
58,0.65,0.01,1.4,1.16,0.0,0.87
59,0.67,0.01,1.46,0.99,0.0,0.78
60,0.58,0.01,1.45,0.85,0.0,0.67
61,0.38,0.01,1.29,0.61,0.0,0.55
62,0.25,0.02,1.04,0.56,0.0,0.53
63,0.32,0.02,0.77,0.59,0.0,0.59
64,0.49,0.02,0.71,0.65,0.0,0.7
65,0.65,0.0,1.19,0.56,0.0,0.63
66,0.74,0.0,1.89,0.47,0.0,0.6
67,0.85,0.0,2.55,0.38,0.04,0.56
68,1.01,0.05,2.83,0.37,0.08,0.68
69,1.12,0.05,2.7,0.41,0.11,0.74
70,1.12,0.05,2.35,0.61,0.12,0.83
71,0.98,0.09,2.07,0.73,0.12,0.89
72,0.78,0.13,2.15,0.89,0.14,0.87
73,0.74,0.13,2.14,0.98,0.26,0.84
74,0.68,0.23,2.17,1.19,0.26,0.8
75,0.69,0.37,1.92,1.23,0.23,0.8
76,0.66,0.37,1.88,1.26,0.17,0.81
77,0.7,0.22,1.93,1.1,0.26,0.76
78,0.64,0.15,2.0,1.03,0.25,0.72
79,0.57,0.21,1.89,1.0,0.22,0.67
80,0.49,0.37,1.72,1.06,0.18,0.7
81,0.51,0.29,1.56,1.09,0.23,0.72
82,0.52,0.24,1.62,1.17,0.23,0.79
83,0.55,0.09,1.58,1.13,0.16,0.75
84,0.55,0.1,1.74,1.03,0.08,0.82
85,0.53,0.08,1.82,0.82,0.0,0.75
86,0.45,0.08,1.75,0.71,0.01,0.72
87,0.42,0.09,1.52,0.72,0.01,0.6
88,0.4,0.12,1.24,0.75,0.01,0.52
89,0.43,0.07,1.16,0.82,0.0,0.44
90,0.43,0.14,1.36,0.88,0.05,0.37
91,0.4,0.11,1.54,0.88,0.08,0.39
92,0.39,0.16,1.75,0.86,0.1,0.42
93,0.45,0.09,1.67,0.88,0.05,0.53
94,0.55,0.09,1.66,0.98,0.02,0.52
95,0.62,0.04,1.7,1.1,0.0,0.54
96,0.68,0.0,1.69,1.01,0.0,0.65
97,0.72,0.0,1.74,0.96,0.0,0.83
98,0.75,0.0,1.75,0.9,0.01,1.01
99,0.75,0.0,1.99,0.97,0.03,1.0
100,0.73,0.0,2.07,0.94,0.03,0.96
101,0.72,0.0,2.13,0.84,0.02,0.88
102,0.68,0.0,2.14,0.74,0.0,0.88
103,0.68,0.0,2.16,0.67,0.0,0.9
104,0.65,0.04,2.11,0.69,0.0,0.93
105,0.65,0.04,1.96,0.74,0.0,0.96
106,0.62,0.04,1.94,0.74,0.0,0.96
107,0.59,0.03,1.82,0.75,0.0,0.88
108,0.54,0.03,1.77,0.78,0.03,0.78
109,0.55,0.03,1.63,0.85,0.06,0.67
110,0.6,0.0,1.62,0.81,0.06,0.69
111,0.67,0.0,1.56,0.71,0.03,0.67
112,0.73,0.0,1.63,0.63,0.0,0.73
113,0.79,0.01,1.66,0.62,0.0,0.69
114,0.79,0.01,1.63,0.62,0.0,0.7
115,0.75,0.02,1.46,0.67,0.0,0.63
116,0.66,0.02,1.37,0.79,0.0,0.72
117,0.61,0.05,1.53,0.85,0.0,0.77
118,0.59,0.15,1.69,0.83,0.0,0.88
