frame,f1,f2,f3,f4,f5,f6
1,0.0,0.0,2.12,0.0,0.0,0.0
2,0.0,0.21,1.97,0.05,0.02,0.05
3,0.0,0.25,1.77,0.05,0.02,0.05
4,0.0,0.14,1.61,0.0,0.0,0.0
5,0.0,0.19,1.59,0.01,0.0,0.01
6,0.0,0.23,1.51,0.01,0.04,0.01
7,0.0,0.26,1.44,0.11,0.05,0.11
8,0.0,0.12,1.59,0.1,0.05,0.1
9,0.0,0.07,1.6,0.12,0.05,0.12
10,0.0,0.05,1.51,0.1,0.06,0.1
11,0.0,0.07,1.37,0.1,0.07,0.1
12,0.0,0.19,1.47,0.18,0.04,0.18
13,0.0,0.31,1.66,0.22,0.02,0.22
14,0.0,0.31,1.65,0.27,0.0,0.27
15,0.0,0.22,1.63,0.24,0.0,0.24
16,0.0,0.11,1.52,0.14,0.0,0.14
17,0.0,0.21,1.56,0.13,0.0,0.13
18,0.0,0.26,1.59,0.11,0.0,0.11
19,0.0,0.32,1.6,0.16,0.0,0.16
20,0.0,0.28,1.5,0.19,0.04,0.19
21,0.0,0.31,1.54,0.19,0.08,0.19
22,0.0,0.38,1.51,0.16,0.13,0.16
23,0.0,0.41,1.52,0.13,0.13,0.13
24,0.0,0.32,1.52,0.13,0.28,0.13
25,0.0,0.17,1.42,0.1,0.33,0.1
26,0.0,0.06,1.23,0.13,0.35,0.13
27,0.0,0.02,0.73,0.21,0.22,0.21
28,0.0,0.0,0.44,0.44,0.11,0.39
29,0.0,0.0,0.3,0.66,0.05,0.53
30,0.0,0.0,0.27,0.72,0.01,0.53
31,0.0,0.0,0.21,0.79,0.01,0.56
32,0.0,0.0,0.09,0.78,0.02,0.57
33,0.02,0.0,0.07,0.99,0.03,0.69
34,0.02,0.0,0.03,1.05,0.03,0.71
35,0.02,0.0,0.02,1.2,0.04,0.84
36,0.06,0.06,0.1,1.21,0.16,0.86
37,0.2,0.17,0.16,1.27,0.38,0.88
38,0.27,0.17,0.25,1.22,0.42,0.79
39,0.36,0.12,0.25,1.33,0.44,0.84
40,0.46,0.03,0.36,1.33,0.52,0.85
41,0.62,0.04,0.38,1.33,0.74,0.87
42,0.63,0.05,0.38,1.14,0.86,0.81
43,0.67,0.04,0.29,1.02,0.9,0.78
44,0.63,0.05,0.31,0.78,0.86,0.61
45,0.75,0.03,0.69,0.45,0.82,0.35
46,0.81,0.03,1.05,0.27,0.81,0.22
47,1.01,0.01,1.42,0.24,0.81,0.17
48,1.1,0.0,1.6,0.32,0.78,0.18
49,1.27,0.0,1.62,0.21,0.86,0.08
50,1.32,0.0,1.64,0.12,0.83,0.01
51,1.41,0.0,1.49,0.08,0.89,0.0
52,1.31,0.0,1.5,0.07,0.72,0.0
53,1.46,0.0,1.44,0.16,0.93,0.0
54,1.49,0.0,1.5,0.17,0.9,0.02
55,1.67,0.0,1.57,0.3,1.03,0.02
56,1.61,0.0,1.57,0.28,0.94,0.04
57,1.61,0.0,1.62,0.43,0.92,0.02
58,1.58,0.0,1.78,0.41,0.94,0.02
59,1.63,0.0,2.0,0.48,0.93,0.13
60,1.76,0.0,2.2,0.42,1.09,0.35
61,1.74,0.0,2.09,0.55,1.12,0.49
62,1.82,0.0,2.17,0.65,1.21,0.57
63,2.03,0.0,2.0,0.91,1.41,0.53
64,2.28,0.0,2.15,1.06,1.52,0.56
65,2.61,0.0,2.0,1.16,1.77,0.54
66,2.62,0.0,2.09,1.14,1.66,0.5
67,2.77,0.0,2.17,1.19,1.64,0.54
68,2.59,0.0,2.27,1.17,1.49,0.51
69,2.73,0.0,2.3,1.23,1.46,0.54
70,2.76,0.0,2.21,1.2,1.51,0.5
71,2.89,0.0,2.29,1.22,1.55,0.45
72,2.85,0.0,2.21,1.04,1.57,0.47
