zoom,phase,beeps,score,f1,f2,f3,f4,f5,f6
False,instructional_video_0,,,0.0004,0.0526,0.016,0.0193,0.0287,0.0162
False,discussion_phase_0,,,0.0002,0.0005,0.0108,0.0106,0.0045,0.0179
False,reschu_run_0,False,15,0.0,0.1542,0.033,0.0334,0.0004,0.028
False,reschu_run_1,True,14,0.0,0.1368,0.0299,0.0427,0.0008,0.0358
False,reschu_run_2,False,19,0.0,0.0754,0.0288,0.0265,0.0,0.0258
False,reschu_run_3,True,18,0.0002,0.1737,0.0289,0.0157,0.0009,0.0096
False,discussion_phase_1,,,0.0014,0.1176,0.0211,0.022,0.0226,0.0249
False,reschu_run_4,False,31,0.0012,0.0868,0.0349,0.0377,0.0039,0.0357
False,reschu_run_5,True,29,0.0024,0.0682,0.031,0.0283,0.0082,0.0262
False,reschu_run_6,False,29,0.0031,0.2195,0.0324,0.0353,0.0179,0.0232
False,reschu_run_7,True,27,0.0034,0.0634,0.0254,0.0311,0.0134,0.0199
