zoom,phase,beeps,score,f1,f2,f3,f4,f5,f6
False,instructional_video_0,,,0.0017,0.0648,0.0382,0.0191,0.1835,0.0424
False,discussion_phase_0,,,0.0004,0.1419,0.0293,0.0092,0.2508,0.0062
False,reschu_run_0,False,14,0.0011,0.0376,0.0227,0.0166,0.2144,0.0247
False,reschu_run_1,True,8,0.0008,0.0337,0.0221,0.0187,0.0063,0.0277
False,reschu_run_2,False,22,0.0009,0.0328,0.0225,0.0215,0.004,0.0236
False,reschu_run_3,True,14,0.0013,0.0434,0.0219,0.021,0.0022,0.0214
False,discussion_phase_1,,,0.0003,0.0834,0.021,0.0126,0.1133,0.0038
False,reschu_run_4,False,15,0.0012,0.0398,0.0218,0.0178,0.0053,0.0249
False,reschu_run_5,True,18,0.0014,0.0335,0.021,0.0214,0.0024,0.0282
False,reschu_run_6,False,17,0.0012,0.0335,0.0243,0.0197,0.0008,0.0224
False,reschu_run_7,True,19,0.0012,0.0375,0.0197,0.0228,0.001,0.0248
