pair,zoom,phase,beeps,score,f1,f2,f3,f4,f5,f6
85_86,True,reschu_run_4,True,28,0.1101,0.3321,0.0545,0.0561,0.0001,0.0484
87_88,False,instructional_video_0,,,0.0691,0.382,0.0884,0.0226,0.1106,0.0675
87_88,False,discussion_phase_0,,,0.0617,0.3056,0.0332,0.0363,0.03,0.0189
87_88,False,reschu_run_0,False,6,0.0728,0.3896,0.0595,0.0718,0.0187,0.0488
87_88,False,reschu_run_1,True,14,0.1162,0.381,0.0621,0.0776,0.0493,0.0524
87_88,False,reschu_run_2,False,27,0.1306,0.4057,0.0685,0.0823,0.0771,0.0559
87_88,False,reschu_run_3,True,24,0.1253,0.3798,0.0707,0.0897,0.0331,0.0523
87_88,False,discussion_phase_1,,,0.0214,0.0473,0.0238,0.0255,0.0426,0.0204
87_88,False,reschu_run_4,False,19,0.061,0.3796,0.0673,0.0813,0.1139,0.0526
91_92,False,instructional_video_0,,,0.0441,0.351,0.104,0.067,0.0,0.07
91_92,False,discussion_phase_0,,,0.0229,0.3332,0.0511,0.0403,0.0002,0.0119
91_92,False,reschu_run_0,False,12,0.024,0.364,0.0642,0.0747,0.0,0.0496
91_92,False,reschu_run_1,True,9,0.0095,0.3531,0.0654,0.0803,0.0004,0.0512
91_92,False,reschu_run_2,False,19,0.0183,0.36,0.0747,0.0705,0.0005,0.0523
91_92,False,reschu_run_3,True,20,0.0067,0.3626,0.0642,0.0721,0.0,0.0549
91_92,False,discussion_phase_1,,,0.0243,0.3195,0.0421,0.0402,0.0001,0.0297
93_94,True,instructional_video_0,,,0.0285,0.5105,0.1638,0.1449,0.0,0.0906
93_94,True,discussion_phase_0,,,0.0351,0.132,0.0467,0.0386,0.0005,0.0394
93_94,True,reschu_run_0,True,9,0.0292,0.3006,0.0453,0.053,0.0,0.0474
93_94,True,reschu_run_1,False,10,0.0307,0.3882,0.0436,0.039,0.0009,0.0321
93_94,True,reschu_run_2,True,9,0.0041,0.2523,0.043,0.0392,0.0,0.0207
93_94,True,reschu_run_3,False,13,0.007,0.4393,0.0265,0.0338,0.0012,0.0231
93_94,True,discussion_phase_1,,,0.0427,0.3271,0.0742,0.0336,0.0002,0.0367
93_94,True,reschu_run_4,True,14,0.0197,0.4487,0.0516,0.0588,0.0002,0.0419
95_96,False,instructional_video_0,,,0.3054,0.3732,0.0647,0.0342,0.0286,0.018
95_96,False,discussion_phase_0,,,0.0785,0.2092,0.0295,0.1281,0.0636,0.0637
95_96,False,reschu_run_0,False,7,0.1581,0.3487,0.054,0.0952,0.0817,0.0471
95_96,False,reschu_run_1,True,12,0.0639,0.3236,0.06,0.031,0.077,0.0263
95_96,False,reschu_run_2,False,14,0.189,0.3545,0.0555,0.1017,0.0946,0.048
95_96,False,reschu_run_3,True,15,0.1749,0.3347,0.0506,0.0885,0.0645,0.0435
95_96,False,discussion_phase_1,,,0.18,0.3136,0.0419,0.0549,0.0262,0.0274
95_96,False,reschu_run_4,False,7,0.1535,0.3803,0.0459,0.0622,0.0968,0.0305
95_96,False,reschu_run_5,True,16,0.1835,0.3492,0.0529,0.0872,0.086,0.0488
95_96,False,reschu_run_6,False,16,0.0652,0.2974,0.0411,0.0708,0.0698,0.0333
95_96,False,reschu_run_7,True,23,0.223,0.322,0.0588,0.0565,0.0981,0.0399
97_98,True,instructional_video_0,,,0.084,0.4776,0.0424,0.0035,0.1364,0.0776
97_98,True,discussion_phase_0,,,0.0715,0.3167,0.0395,0.0224,0.0869,0.0271
97_98,True,reschu_run_0,True,13,0.1907,0.4483,0.0454,0.0113,0.1038,0.0356
97_98,True,reschu_run_1,False,14,0.6864,0.3521,0.0536,0.0604,0.0469,0.0607
97_98,True,reschu_run_2,True,9,0.6663,0.3736,0.0485,0.0635,0.0911,0.0554
97_98,True,reschu_run_3,False,15,0.6648,0.3691,0.0564,0.0442,0.0361,0.0454
97_98,True,discussion_phase_1,,,0.1937,0.3544,0.0407,0.03,0.1015,0.0261
