frame,f1,f2,f3,f4,f5,f6
1,1.24,0.18,1.4,1.19,0.64,0.6
2,1.51,0.06,1.56,1.47,0.52,0.78
3,1.63,0.0,1.61,1.63,0.44,1.0
4,1.58,0.0,1.57,1.7,0.48,1.16
5,1.52,0.0,1.49,1.6,0.49,1.09
6,1.47,0.0,1.33,1.46,0.57,0.96
7,1.43,0.0,1.19,1.35,0.58,0.89
8,1.39,0.0,1.12,1.34,0.61,0.82
9,1.33,0.0,1.19,1.41,0.58,0.77
10,1.24,0.0,1.14,1.44,0.6,0.67
11,1.25,0.0,1.06,1.43,0.64,0.7
12,1.24,0.0,0.98,1.52,0.68,0.7
13,1.26,0.0,1.0,1.6,0.65,0.74
14,1.27,0.0,0.94,1.54,0.61,0.79
15,1.23,0.0,0.88,1.37,0.57,0.88
16,1.2,0.0,0.91,1.22,0.56,0.98
17,1.18,0.01,1.07,1.24,0.55,1.0
18,1.21,0.01,1.29,1.35,0.55,1.02
19,1.21,0.01,1.45,1.45,0.54,0.94
20,1.17,0.04,1.45,1.52,0.58,0.88
21,1.09,0.06,1.47,1.38,0.39,0.88
22,1.05,0.06,1.42,1.23,0.34,0.95
23,1.03,0.08,1.58,1.03,0.24,0.88
24,1.04,0.18,1.18,1.16,0.44,0.74
25,1.08,0.18,0.96,1.38,0.32,0.6
26,1.04,0.11,0.4,1.47,0.2,0.5
27,1.0,0.0,0.25,1.47,0.0,0.56
28,0.86,0.0,0.02,1.45,0.04,0.55
29,0.82,0.0,0.17,1.54,0.17,0.6
30,0.78,0.0,0.23,1.57,0.22,0.57
31,0.8,0.0,0.26,1.51,0.2,0.66
32,0.87,0.03,0.28,1.49,0.14,0.85
33,0.89,0.07,0.33,1.51,0.24,1.12
34,0.92,0.08,0.61,1.54,0.29,1.26
35,0.91,0.09,0.75,1.61,0.31,1.3
36,0.9,0.05,0.85,1.62,0.16,1.23
37,0.89,0.05,0.7,1.6,0.13,1.21
38,0.89,0.05,0.55,1.46,0.16,0.93
39,0.94,0.05,0.62,1.36,0.17,0.74
40,1.04,0.08,0.88,1.21,0.28,0.57
41,1.11,0.04,1.1,1.2,0.38,0.64
42,1.12,0.06,1.21,1.34,0.69,0.78
43,1.06,0.03,1.1,1.56,0.85,0.91
44,1.07,0.04,1.05,1.61,0.91,1.02
45,1.09,0.11,1.13,1.47,0.84,0.96
46,1.1,0.1,1.37,1.22,0.73,0.75
47,1.08,0.09,1.87,1.09,0.61,0.6
48,1.16,0.0,2.14,1.01,0.49,0.55
49,1.22,0.08,2.18,1.18,0.45,0.62
50,1.19,0.15,1.8,1.52,0.58,0.92
51,1.14,0.26,1.26,1.86,0.63,1.12
52,1.11,0.25,0.82,1.94,0.73,1.33
53,1.15,0.23,0.52,1.95,0.65,1.39
54,1.15,0.15,0.56,2.15,0.66,1.51
55,1.16,0.17,0.64,2.57,0.55,1.74
56,1.16,0.19,1.06,2.72,0.59,1.88
