zoom,phase,beeps,score,f1,f2,f3,f4,f5,f6
True,instructional_video_0,,,0.3592,0.086,0.0321,0.0215,0.0211,0.0434
True,discussion_phase_0,,,0.0464,0.1522,0.0147,0.0174,0.0252,0.0212
True,reschu_run_0,True,4,0.3313,0.1007,0.0231,0.0293,0.0542,0.0321
True,reschu_run_1,False,5,0.1371,0.1116,0.02,0.0233,0.0516,0.0282
True,reschu_run_2,True,10,0.1118,0.0948,0.0208,0.0254,0.0489,0.0299
True,reschu_run_3,False,13,0.2956,0.0528,0.0264,0.0345,0.0546,0.0369
True,discussion_phase_1,,,0.0294,0.1387,0.0149,0.0156,0.0251,0.0236
