frame,f1,f2,f3,f4,f5,f6
1,0.41,0.05,1.06,1.26,1.45,1.02
2,0.35,0.04,0.76,1.21,1.49,1.16
3,0.28,0.12,0.62,1.12,1.45,1.12
4,0.13,0.17,0.61,1.01,1.28,1.03
5,0.31,0.15,0.66,1.15,1.54,1.06
6,0.38,0.11,0.82,1.14,1.75,1.0
7,1.1,0.09,0.92,0.97,2.63,0.92
8,1.65,0.13,1.11,0.68,3.19,0.84
9,2.34,0.09,1.11,0.58,3.84,0.87
10,2.33,0.05,1.24,0.68,3.74,0.8
11,2.16,0.02,1.17,0.86,3.54,0.71
12,1.69,0.0,1.13,0.91,3.16,0.6
13,1.4,0.0,1.09,0.87,2.96,0.6
14,1.2,0.0,1.09,0.78,2.88,0.55
15,1.21,0.0,1.03,0.75,2.83,0.56
16,1.09,0.0,0.98,0.83,2.66,0.57
17,1.19,0.0,1.0,0.79,2.73,0.84
18,1.52,0.0,1.05,0.93,3.13,1.13
19,1.93,0.0,1.07,1.01,3.65,1.45
20,2.1,0.0,0.98,1.12,3.76,1.49
21,2.14,0.0,0.97,1.17,3.72,1.52
22,2.32,0.01,1.01,1.05,3.75,1.35
23,2.4,0.02,1.0,0.94,3.8,1.18
24,2.12,0.03,1.2,0.84,3.45,0.93
25,1.73,0.07,1.36,0.94,3.07,0.9
26,1.37,0.14,1.59,1.05,2.69,0.88
27,1.34,0.29,1.46,1.06,2.77,0.84
28,1.18,0.34,1.39,0.97,2.75,0.8
29,1.01,0.28,1.38,0.88,2.61,0.85
30,1.01,0.12,1.25,0.94,2.59,0.97
31,1.02,0.01,1.19,1.03,2.51,1.09
32,1.06,0.03,1.11,1.2,2.59,1.06
33,1.01,0.03,1.22,1.27,2.49,0.99
34,0.97,0.02,1.2,1.36,2.43,0.96
35,0.98,0.02,1.18,1.4,2.44,1.03
36,1.15,0.02,1.12,1.44,2.64,1.13
37,1.33,0.02,0.97,1.44,2.87,1.21
38,1.4,0.04,0.83,1.38,2.98,1.24
39,1.35,0.07,0.79,1.33,2.98,1.26
40,1.2,0.13,0.8,1.28,2.81,1.27
41,1.17,0.09,1.02,1.25,2.64,1.2
42,1.06,0.07,1.18,1.2,2.41,1.09
43,1.06,0.0,1.33,1.19,2.37,1.02
44,1.09,0.0,1.23,1.21,2.46,1.03
45,1.2,0.04,1.28,1.3,2.6,1.11
46,1.3,0.07,1.32,1.37,2.67,1.16
47,1.35,0.14,1.32,1.38,2.71,1.14
48,1.28,0.11,1.32,1.47,2.65,1.21
49,1.35,0.09,1.29,1.43,2.74,1.26
50,1.39,0.01,1.29,1.45,2.81,1.36
51,1.45,0.0,1.21,1.36,2.85,1.36
52,1.4,0.0,1.11,1.46,2.85,1.46
53,1.24,0.29,0.98,1.49,2.72,1.41
54,1.13,0.59,0.83,1.56,2.67,1.4
55,1.47,0.7,0.97,1.4,3.07,1.28
56,1.98,0.47,0.98,1.38,3.65,1.38
57,2.48,0.23,1.19,1.3,4.16,1.45
58,2.5,0.18,1.12,1.32,4.16,1.43
59,2.49,0.21,1.34,1.28,4.15,1.34
60,2.4,0.16,1.29,1.37,4.05,1.23
61,2.42,0.09,1.34,1.41,4.06,1.18
62,2.16,0.03,1.23,1.4,3.79,1.1
63,1.96,0.04,1.19,1.32,3.63,1.05
64,1.71,0.05,1.13,1.34,3.36,1.05
65,1.53,0.02,0.99,1.49,3.06,1.15
66,1.4,0.01,0.95,1.65,2.82,1.25
67,1.26,0.01,0.91,1.78,2.62,1.33
68,1.33,0.01,1.12,1.76,2.71,1.32
69,1.33,0.01,1.25,1.66,2.7,1.31
70,1.31,0.0,1.41,1.57,2.67,1.3
71,1.31,0.0,1.42,1.57,2.66,1.32
72,1.29,0.12,1.43,1.49,2.68,1.25
73,1.26,0.32,1.45,1.43,2.68,1.2
74,1.21,0.49,1.45,1.37,2.69,1.12
75,1.1,0.44,1.42,1.38,2.52,1.12
76,0.97,0.3,1.41,1.38,2.31,1.09
77,0.95,0.12,1.32,1.4,2.16,1.1
78,1.01,0.06,1.19,1.46,2.18,1.09
79,1.08,0.03,1.04,1.49,2.19,1.09
80,1.07,0.04,0.96,1.49,2.16,1.06
81,1.11,0.05,0.93,1.49,2.19,1.08
82,1.12,0.08,0.79,1.46,2.24,1.06
83,1.13,0.1,0.71,1.41,2.32,1.03
84,1.16,0.08,0.55,1.27,2.56,0.94
85,1.19,0.02,0.58,1.25,2.68,0.96
86,1.25,0.0,0.57,1.19,2.81,0.95
87,1.28,0.0,0.62,1.24,2.78,1.0
88,0.99,0.0,0.66,1.24,2.52,1.05
89,0.97,0.07,0.7,1.22,2.55,1.12
90,0.94,0.1,0.66,1.22,2.55,1.11
91,1.25,0.17,0.53,1.28,2.87,1.16
92,1.3,0.17,0.5,1.34,2.92,1.13
93,1.34,0.21,0.63,1.31,2.98,1.19
94,1.3,0.14,0.86,1.18,2.99,1.09
95,1.14,0.07,0.9,1.21,2.84,1.05
96,0.96,0.0,1.02,1.22,2.57,1.1
97,0.78,0.07,1.03,1.31,2.34,1.22
98,0.63,0.15,1.15,1.24,2.13,1.29
99,0.58,0.23,1.06,1.21,2.12,1.3
100,0.55,0.21,1.06,1.2,2.05,1.2
101,0.84,0.17,0.87,1.27,2.41,1.1
102,0.79,0.11,0.88,1.4,2.42,1.02
103,0.93,0.2,0.88,1.39,2.67,1.0
104,0.73,0.18,1.06,1.53,2.37,1.13
105,0.78,0.33,0.87,1.55,2.39,1.21
106,0.8,0.34,0.84,1.54,2.34,1.25
107,0.86,0.49,0.67,1.29,2.57,1.08
108,0.92,0.51,0.86,1.16,2.56,1.02
109,0.99,0.57,0.84,1.2,2.46,1.03
110,1.08,0.49,0.93,1.29,2.29,1.17
111,1.07,0.49,0.78,1.31,2.26,1.2
112,0.94,0.48,0.71,1.28,2.23,1.2
113,1.13,0.41,0.67,1.22,2.59,1.04
114,1.39,0.29,0.78,1.19,2.95,0.96
115,1.61,0.29,0.84,1.16,3.14,0.85
116,1.5,0.29,0.75,1.24,3.04,0.9
117,1.27,0.33,0.69,1.35,2.84,0.89
118,1.28,0.26,0.63,1.36,3.08,0.79
119,1.14,0.44,0.7,1.23,2.95,0.69
120,1.21,0.35,0.8,0.94,3.0,0.59
121,1.05,0.25,0.75,0.78,2.72,0.55
122,1.1,0.09,0.72,0.62,2.74,0.5
123,1.08,0.13,0.61,0.55,2.68,0.44
124,1.08,0.12,0.7,0.45,2.68,0.4
125,1.26,0.06,0.76,0.67,2.92,0.59
126,1.53,0.02,0.76,0.86,3.24,0.82
127,1.59,0.0,0.84,1.07,3.24,1.04
128,1.4,0.0,0.83,1.17,2.95,1.1
129,1.12,0.0,0.75,1.21,2.58,1.13
130,1.03,0.16,0.56,1.35,2.53,1.17
131,1.0,0.16,0.5,1.24,2.57,1.12
132,1.14,0.16,0.73,1.24,2.73,1.31
133,1.16,0.0,1.02,1.18,2.66,1.44
134,1.19,0.0,1.28,1.26,2.6,1.56
135,1.51,0.03,1.35,1.32,3.1,1.64
136,2.1,0.08,1.24,1.33,3.78,1.77
137,2.79,0.23,1.37,1.35,4.46,1.97
138,2.72,0.39,1.29,1.31,4.23,1.89
139,2.54,0.48,1.38,1.3,4.09,1.78
140,2.25,0.47,1.05,1.22,3.93,1.63
141,2.22,0.44,0.94,1.18,3.97,1.57
142,2.33,0.39,0.83,1.16,4.1,1.51
143,2.34,0.33,0.9,1.19,4.16,1.39
144,2.12,0.24,0.89,1.17,3.84,1.19
145,1.81,0.15,0.87,1.13,3.35,1.13
146,1.56,0.13,0.82,1.06,2.92,1.14
147,1.54,0.06,0.78,1.03,2.89,1.14
148,1.54,0.05,0.74,1.05,2.95,1.08
149,1.53,0.0,0.72,1.25,3.03,1.24
150,1.54,0.0,0.81,1.46,3.08,1.54
151,1.47,0.0,0.79,1.57,3.02,1.66
152,1.45,0.0,0.81,1.54,2.81,1.49
153,1.49,0.0,0.77,1.55,2.72,1.33
154,1.56,0.0,0.75,1.61,2.71,1.24
155,1.59,0.0,0.75,1.53,2.86,1.19
156,1.63,0.0,0.9,1.42,2.92,1.14
157,1.57,0.0,0.98,1.25,2.91,1.23
158,1.42,0.0,0.98,1.33,2.65,1.41
159,1.22,0.0,0.8,1.34,2.55,1.58
160,1.11,0.0,0.77,1.39,2.43,1.55
161,1.15,0.08,0.84,1.41,2.48,1.56
