zoom,phase,beeps,score,f1,f2,f3,f4,f5,f6
True,instructional_video_0,,,0.0672,0.0715,0.0221,0.0385,0.0031,0.0367
True,discussion_phase_0,,,0.0081,0.094,0.0186,0.0227,0.0165,0.0254
True,reschu_run_0,True,5,0.0283,0.1172,0.0209,0.0315,0.0143,0.031
True,reschu_run_1,False,8,0.0103,0.0865,0.0229,0.0302,0.0086,0.0331
True,reschu_run_2,True,13,0.0089,0.1003,0.023,0.0295,0.0037,0.0333
True,reschu_run_3,False,8,0.0085,0.1227,0.0182,0.021,0.0124,0.0221
True,discussion_phase_1,,,0.005,0.1254,0.0167,0.0194,0.0121,0.0193
True,reschu_run_4,True,21,0.013,0.1007,0.0227,0.027,0.0039,0.0332
True,reschu_run_5,False,12,0.0072,0.0936,0.0209,0.0258,0.0049,0.0325
True,reschu_run_6,True,13,0.003,0.1111,0.018,0.0197,0.0059,0.0251
True,reschu_run_7,False,17,0.0091,0.0986,0.0182,0.0197,0.0079,0.0239
