frame,f1,f2,f3,f4,f5,f6
1,0.0,0.15,0.52,0.89,0.0,0.6
2,0.0,0.41,0.39,1.39,0.0,1.03
3,0.0,0.51,0.46,1.64,0.0,1.25
4,0.0,0.51,0.55,1.61,0.0,1.24
5,0.0,0.58,0.6,1.48,0.0,1.2
6,0.0,0.67,0.43,1.28,0.0,1.16
7,0.0,0.83,0.31,1.16,0.0,1.1
8,0.0,0.9,0.27,1.18,0.0,1.11
9,0.0,0.96,0.3,1.26,0.0,1.15
10,0.0,0.89,0.43,1.26,0.0,1.19
11,0.0,0.85,0.45,1.19,0.0,1.18
12,0.0,0.79,0.46,1.1,0.01,1.15
13,0.0,0.76,0.43,1.02,0.04,1.08
14,0.0,0.78,0.42,0.97,0.06,1.07
15,0.02,0.8,0.42,0.85,0.1,0.9
16,0.02,0.81,0.41,0.77,0.07,0.81
17,0.02,0.82,0.44,0.67,0.05,0.67
18,0.02,1.0,0.45,0.73,0.02,0.73
19,0.02,1.0,0.44,0.73,0.06,0.73
20,0.03,0.93,0.38,0.73,0.06,0.73
21,0.01,0.78,0.34,0.67,0.06,0.67
22,0.0,0.86,0.35,0.65,0.03,0.65
23,0.0,1.0,0.34,0.66,0.03,0.66
24,0.0,1.08,0.47,0.65,0.07,0.65
25,0.0,0.99,0.51,0.69,0.16,0.66
26,0.0,0.85,0.59,0.74,0.19,0.67
27,0.0,0.66,0.48,0.76,0.21,0.69
28,0.0,0.67,0.43,0.75,0.21,0.72
29,0.0,0.68,0.36,0.72,0.24,0.79
30,0.0,0.71,0.4,0.75,0.21,0.9
31,0.0,0.71,0.32,0.87,0.17,0.99
32,0.0,0.78,0.26,0.96,0.13,1.0
33,0.0,0.75,0.14,1.09,0.11,0.98
34,0.0,0.84,0.12,1.18,0.08,1.01
35,0.0,0.97,0.15,1.17,0.11,0.98
36,0.0,1.0,0.18,1.18,0.1,0.96
37,0.0,0.91,0.25,1.18,0.11,0.93
38,0.0,0.75,0.29,1.27,0.06,0.97
39,0.0,0.78,0.38,1.22,0.03,0.93
40,0.0,0.8,0.46,1.27,0.01,0.98
41,0.0,0.85,0.52,1.31,0.01,1.02
42,0.0,1.17,0.5,1.36,0.06,1.07
43,0.0,1.38,0.52,1.34,0.06,1.07
44,0.0,1.62,0.49,1.31,0.05,1.06
45,0.0,1.66,0.5,1.32,0.0,1.09
46,0.0,1.57,0.44,1.31,0.03,1.11
47,0.0,1.56,0.47,1.31,0.04,1.16
48,0.0,1.41,0.41,1.23,0.1,1.15
