frame,f1,f2,f3,f4,f5,f6
123,0.0,0.46,0.15,0.62,0.15,0.55
124,0.0,0.5,0.1,0.58,0.15,0.55
125,0.0,0.57,0.06,0.57,0.16,0.55
126,0.0,0.67,0.07,0.61,0.14,0.6
127,0.0,0.75,0.09,0.62,0.09,0.61
128,0.0,0.7,0.16,0.74,0.04,0.71
129,0.0,0.58,0.26,0.74,0.01,0.68
130,0.0,0.48,0.29,0.72,0.0,0.64
131,0.01,0.44,0.32,0.58,0.0,0.52
132,0.01,0.54,0.27,0.55,0.1,0.51
133,0.0,0.6,0.29,0.49,0.21,0.48
134,0.0,0.67,0.28,0.48,0.29,0.48
135,0.0,0.68,0.35,0.46,0.3,0.46
136,0.0,0.69,0.37,0.45,0.31,0.46
137,0.0,0.68,0.37,0.42,0.31,0.44
138,0.0,0.7,0.33,0.4,0.27,0.42
139,0.0,0.72,0.34,0.41,0.23,0.41
140,0.0,0.88,0.31,0.4,0.23,0.39
141,0.0,1.03,0.24,0.42,0.22,0.39
142,0.0,1.12,0.11,0.38,0.18,0.36
143,0.0,1.12,0.02,0.37,0.14,0.35
144,0.0,1.03,0.1,0.39,0.15,0.42
145,0.0,0.97,0.21,0.44,0.2,0.49
146,0.0,0.95,0.27,0.49,0.27,0.6
147,0.0,0.92,0.21,0.46,0.35,0.55
148,0.0,0.99,0.1,0.45,0.42,0.55
149,0.0,0.94,0.08,0.41,0.44,0.5
150,0.0,0.91,0.14,0.37,0.37,0.44
151,0.0,0.91,0.22,0.33,0.3,0.38
152,0.0,0.83,0.34,0.25,0.27,0.25
153,0.0,0.82,0.37,0.25,0.32,0.25
154,0.0,0.75,0.36,0.23,0.33,0.23
155,0.0,0.8,0.26,0.25,0.34,0.25
156,0.0,0.74,0.23,0.38,0.38,0.38
157,0.0,0.68,0.22,0.51,0.45,0.51
158,0.0,0.62,0.24,0.66,0.48,0.66
159,0.0,0.63,0.22,0.67,0.45,0.67
160,0.0,0.62,0.23,0.68,0.44,0.68
161,0.0,0.58,0.23,0.66,0.43,0.66
162,0.0,0.55,0.25,0.68,0.41,0.68
163,0.0,0.58,0.23,0.67,0.38,0.67
164,0.0,0.6,0.3,0.66,0.32,0.66
165,0.0,0.63,0.35,0.54,0.29,0.54
166,0.0,0.59,0.45,0.49,0.31,0.49
167,0.0,0.56,0.49,0.5,0.34,0.49
168,0.0,0.52,0.63,0.48,0.36,0.47
169,0.0,0.49,0.66,0.39,0.36,0.37
170,0.0,0.54,0.62,0.29,0.31,0.28
171,0.0,0.58,0.45,0.33,0.27,0.3
172,0.0,0.63,0.39,0.32,0.22,0.29
173,0.0,0.59,0.36,0.3,0.22,0.27
174,0.0,0.55,0.43,0.2,0.22,0.19
175,0.0,0.52,0.47,0.25,0.21,0.23
176,0.0,0.57,0.49,0.35,0.16,0.33
177,0.0,0.62,0.55,0.45,0.15,0.43
178,0.0,0.6,0.58,0.44,0.09,0.44
179,0.0,0.66,0.62,0.4,0.1,0.39
180,0.0,0.78,0.45,0.39,0.04,0.35
181,0.0,0.94,0.36,0.39,0.03,0.32
182,0.0,0.98,0.3,0.43,0.0,0.34
183,0.0,0.99,0.38,0.47,0.02,0.36
184,0.0,1.06,0.41,0.52,0.04,0.39
185,0.0,1.18,0.35,0.46,0.09,0.34
186,0.0,1.17,0.25,0.38,0.12,0.31
187,0.0,1.2,0.19,0.36,0.15,0.3
188,0.0,1.07,0.24,0.3,0.2,0.27
189,0.0,0.94,0.31,0.31,0.19,0.28
190,0.0,0.98,0.44,0.33,0.15,0.33
191,0.0,1.07,0.47,0.37,0.06,0.37
192,0.0,0.91,0.52,0.5,0.05,0.5
193,0.01,0.45,0.47,0.42,0.08,0.42
194,0.03,0.16,0.43,0.46,0.1,0.46
195,0.03,0.13,0.4,0.36,0.08,0.36
196,0.03,0.18,0.34,0.49,0.08,0.46
197,0.0,0.16,0.36,0.54,0.08,0.5
198,0.01,0.19,0.35,0.56,0.12,0.49
199,0.01,0.22,0.41,0.6,0.11,0.5
200,0.01,0.32,0.28,0.73,0.1,0.59
201,0.0,0.38,0.24,0.83,0.06,0.67
202,0.0,0.41,0.15,0.89,0.05,0.71
203,0.0,0.33,0.21,0.82,0.1,0.63
204,0.0,0.35,0.2,0.8,0.12,0.59
205,0.0,0.43,0.22,0.74,0.15,0.57
206,0.0,0.54,0.29,0.77,0.13,0.57
207,0.0,0.53,0.31,0.81,0.1,0.6
208,0.0,0.54,0.36,0.79,0.07,0.55
209,0.0,0.57,0.33,0.81,0.04,0.56
210,0.0,0.65,0.32,0.78,0.07,0.55
211,0.0,0.56,0.26,0.8,0.08,0.56
212,0.02,0.54,0.23,0.72,0.09,0.51
213,0.03,0.53,0.32,0.67,0.13,0.48
214,0.03,0.64,0.41,0.68,0.16,0.5
215,0.02,0.69,0.54,0.66,0.17,0.49
216,0.01,0.75,0.62,0.72,0.2,0.53
217,0.01,0.74,0.74,0.65,0.24,0.49
218,0.0,0.74,0.84,0.64,0.27,0.5
219,0.0,0.73,0.9,0.55,0.23,0.44
220,0.0,0.74,0.97,0.51,0.2,0.4
221,0.0,0.75,1.06,0.46,0.21,0.36
222,0.0,0.7,1.13,0.4,0.27,0.32
223,0.0,0.64,1.16,0.39,0.29,0.34
224,0.0,0.54,1.05,0.47,0.26,0.43
225,0.0,0.45,0.95,0.54,0.21,0.46
226,0.0,0.39,0.8,0.64,0.19,0.5
227,0.0,0.41,0.7,0.71,0.21,0.52
228,0.0,0.34,0.58,0.74,0.15,0.55
229,0.0,0.28,0.41,0.71,0.09,0.52
230,0.0,0.24,0.33,0.7,0.01,0.49
231,0.0,0.32,0.26,0.69,0.0,0.44
232,0.0,0.36,0.34,0.73,0.0,0.45
233,0.0,0.36,0.43,0.68,0.0,0.39
234,0.0,0.33,0.43,0.65,0.02,0.36
235,0.0,0.33,0.43,0.57,0.07,0.29
236,0.0,0.31,0.42,0.56,0.09,0.3
237,0.0,0.28,0.49,0.54,0.11,0.32
238,0.0,0.27,0.57,0.52,0.12,0.35
239,0.0,0.23,0.43,0.47,0.19,0.32
240,0.0,0.33,0.36,0.55,0.16,0.4
241,0.0,0.38,0.27,0.67,0.14,0.51
242,0.0,0.49,0.3,0.76,0.07,0.59
243,0.0,0.44,0.27,0.74,0.06,0.59
244,0.0,0.43,0.27,0.68,0.05,0.56
245,0.0,0.43,0.24,0.66,0.04,0.57
246,0.0,0.43,0.22,0.65,0.03,0.56
247,0.01,0.47,0.25,0.69,0.02,0.57
248,0.01,0.32,0.19,0.65,0.0,0.5
249,0.01,0.23,0.12,0.61,0.0,0.44
250,0.0,0.12,0.03,0.57,0.0,0.39
251,0.0,0.15,0.1,0.56,0.0,0.39
252,0.0,0.24,0.14,0.67,0.04,0.45
253,0.0,0.35,0.14,0.8,0.07,0.53
254,0.0,0.41,0.08,0.94,0.08,0.65
255,0.0,0.43,0.11,0.91,0.06,0.63
256,0.0,0.4,0.13,0.85,0.03,0.6
257,0.0,0.41,0.12,0.74,0.02,0.51
258,0.0,0.42,0.07,0.66,0.0,0.49
259,0.0,0.46,0.03,0.55,0.01,0.43
260,0.01,0.51,0.16,0.49,0.03,0.38
261,0.03,0.58,0.26,0.47,0.03,0.34
262,0.03,0.72,0.42,0.52,0.06,0.34
263,0.02,0.8,0.46,0.54,0.09,0.35
264,0.0,0.86,0.46,0.6,0.13,0.42
265,0.0,0.79,0.45,0.6,0.12,0.45
266,0.0,0.68,0.45,0.58,0.15,0.46
267,0.0,0.58,0.45,0.54,0.13,0.45
268,0.0,0.57,0.45,0.55,0.12,0.48
269,0.0,0.62,0.43,0.59,0.1,0.53
270,0.0,0.8,0.47,0.6,0.12,0.56
271,0.0,0.86,0.44,0.55,0.15,0.54
272,0.0,0.79,0.41,0.53,0.2,0.53
273,0.03,0.62,0.35,0.53,0.24,0.53
274,0.05,0.49,0.31,0.56,0.29,0.56
275,0.07,0.52,0.28,0.58,0.28,0.58
276,0.04,0.59,0.27,0.65,0.32,0.64
277,0.01,0.64,0.33,0.71,0.34,0.7
278,0.0,0.68,0.36,0.79,0.33,0.78
279,0.0,0.61,0.39,0.8,0.31,0.8
280,0.0,0.64,0.41,0.76,0.31,0.78
281,0.0,0.61,0.38,0.68,0.3,0.7
282,0.0,0.59,0.4,0.56,0.28,0.58
283,0.0,0.52,0.43,0.51,0.27,0.48
284,0.0,0.54,0.42,0.49,0.21,0.44
285,0.0,0.62,0.41,0.58,0.15,0.51
286,0.0,0.65,0.41,0.65,0.09,0.6
287,0.0,0.72,0.44,0.69,0.1,0.63
288,0.0,0.67,0.51,0.69,0.11,0.63
289,0.0,0.63,0.59,0.71,0.13,0.65
290,0.0,0.54,0.64,0.74,0.13,0.68
291,0.0,0.51,0.56,0.72,0.2,0.68
292,0.0,0.5,0.4,0.72,0.23,0.67
293,0.0,0.4,0.32,0.65,0.18,0.63
294,0.0,0.31,0.27,0.67,0.08,0.65
295,0.0,0.29,0.33,0.61,0.05,0.61
296,0.0,0.3,0.41,0.7,0.12,0.68
297,0.0,0.37,0.42,0.71,0.19,0.68
298,0.01,0.43,0.41,0.73,0.21,0.68
299,0.04,0.54,0.34,0.61,0.19,0.58
300,0.04,0.58,0.35,0.61,0.12,0.59
301,0.04,0.57,0.33,0.64,0.05,0.63
302,0.0,0.54,0.33,0.68,0.0,0.68
303,0.0,0.57,0.3,0.66,0.0,0.66
304,0.0,0.63,0.25,0.62,0.0,0.62
305,0.0,0.7,0.22,0.72,0.0,0.67
306,0.0,0.74,0.23,0.74,0.05,0.66
307,0.0,0.75,0.24,0.81,0.1,0.71
308,0.0,0.55,0.39,0.75,0.17,0.65
309,0.0,0.33,0.44,0.84,0.16,0.7
310,0.01,0.14,0.51,0.89,0.15,0.69
311,0.01,0.16,0.43,0.97,0.11,0.74
312,0.01,0.26,0.35,0.84,0.08,0.66
313,0.01,0.35,0.26,0.7,0.04,0.59
314,0.01,0.41,0.13,0.58,0.01,0.54
315,0.01,0.45,0.09,0.6,0.0,0.58
316,0.0,0.52,0.03,0.62,0.0,0.6
317,0.0,0.63,0.02,0.63,0.0,0.63
318,0.0,0.69,0.0,0.65,0.0,0.65
319,0.0,0.72,0.0,0.7,0.0,0.7
320,0.0,0.67,0.0,0.65,0.1,0.65
321,0.0,0.64,0.02,0.63,0.16,0.63
322,0.0,0.59,0.03,0.6,0.22,0.6
323,0.0,0.59,0.03,0.64,0.19,0.64
324,0.0,0.6,0.07,0.59,0.16,0.59
325,0.0,0.51,0.06,0.65,0.12,0.63
326,0.0,0.45,0.1,0.65,0.06,0.62
327,0.0,0.41,0.07,0.71,0.04,0.65
328,0.0,0.49,0.1,0.67,0.03,0.61
329,0.0,0.52,0.06,0.65,0.06,0.58
330,0.0,0.45,0.07,0.63,0.07,0.56
331,0.0,0.37,0.09,0.63,0.06,0.53
332,0.0,0.31,0.14,0.55,0.02,0.43
333,0.0,0.3,0.24,0.45,0.01,0.36
334,0.0,0.33,0.27,0.31,0.03,0.24
335,0.0,0.28,0.22,0.31,0.03,0.26
336,0.0,0.31,0.15,0.4,0.02,0.32
337,0.0,0.27,0.1,0.59,0.0,0.49
338,0.01,0.31,0.11,0.73,0.0,0.6
339,0.02,0.31,0.14,0.79,0.0,0.65
340,0.02,0.32,0.19,0.76,0.0,0.62
341,0.01,0.34,0.25,0.77,0.0,0.65
342,0.04,0.32,0.27,0.78,0.0,0.67
343,0.07,0.35,0.32,0.78,0.0,0.7
344,0.07,0.36,0.27,0.68,0.0,0.61
345,0.03,0.41,0.24,0.6,0.0,0.53
346,0.0,0.43,0.15,0.49,0.0,0.43
347,0.02,0.44,0.11,0.44,0.0,0.4
348,0.02,0.54,0.19,0.43,0.02,0.41
349,0.02,0.66,0.22,0.5,0.04,0.44
350,0.03,0.75,0.35,0.54,0.04,0.46
351,0.06,0.71,0.37,0.57,0.05,0.46
352,0.12,0.68,0.44,0.61,0.04,0.46
353,0.15,0.69,0.49,0.63,0.09,0.45
354,0.16,0.79,0.48,0.63,0.06,0.46
355,0.15,0.83,0.45,0.54,0.07,0.38
356,0.15,0.85,0.37,0.52,0.01,0.39
357,0.15,0.74,0.35,0.48,0.01,0.36
358,0.16,0.73,0.38,0.45,0.0,0.38
359,0.19,0.72,0.49,0.34,0.0,0.3
360,0.13,0.74,0.46,0.29,0.05,0.28
361,0.08,0.7,0.4,0.26,0.1,0.25
362,0.0,0.61,0.28,0.32,0.15,0.31
363,0.0,0.59,0.24,0.34,0.1,0.33
364,0.0,0.63,0.26,0.41,0.08,0.38
365,0.0,0.69,0.24,0.42,0.06,0.37
366,0.0,0.66,0.21,0.4,0.14,0.35
367,0.01,0.56,0.14,0.45,0.12,0.4
368,0.01,0.53,0.08,0.48,0.12,0.43
369,0.01,0.58,0.05,0.49,0.1,0.42
370,0.0,0.58,0.04,0.43,0.14,0.39
371,0.0,0.47,0.03,0.48,0.21,0.45
372,0.0,0.4,0.06,0.51,0.19,0.49
373,0.0,0.34,0.08,0.51,0.17,0.49
374,0.0,0.39,0.14,0.39,0.1,0.38
375,0.0,0.33,0.11,0.37,0.09,0.36
376,0.0,0.38,0.06,0.36,0.11,0.35
377,0.0,0.37,0.01,0.44,0.14,0.41
378,0.0,0.38,0.0,0.43,0.15,0.4
379,0.0,0.34,0.01,0.46,0.13,0.42
380,0.0,0.35,0.04,0.42,0.14,0.39
381,0.0,0.39,0.08,0.37,0.16,0.36
382,0.0,0.42,0.2,0.3,0.17,0.3
383,0.0,0.4,0.26,0.26,0.19,0.26
384,0.0,0.37,0.23,0.26,0.18,0.27
385,0.0,0.36,0.1,0.3,0.19,0.31
386,0.0,0.37,0.03,0.29,0.13,0.35
387,0.0,0.38,0.05,0.29,0.14,0.35
388,0.01,0.33,0.1,0.25,0.15,0.31
389,0.02,0.33,0.15,0.31,0.19,0.31
390,0.02,0.36,0.16,0.35,0.18,0.35
391,0.02,0.42,0.13,0.4,0.17,0.4
392,0.0,0.45,0.1,0.4,0.12,0.4
393,0.0,0.45,0.12,0.39,0.08,0.39
394,0.0,0.45,0.17,0.4,0.02,0.4
