frame,f1,f2,f3,f4,f5,f6
1,0.08,0.0,0.99,1.57,0.55,0.91
2,0.27,0.0,0.88,1.57,0.24,1.09
3,0.43,0.0,0.78,1.47,0.18,1.15
4,0.55,0.0,0.66,1.4,0.22,1.17
5,0.54,0.0,0.79,1.3,0.32,1.08
6,0.51,0.0,0.77,1.23,0.41,1.0
7,0.48,0.0,0.86,1.11,0.53,0.93
8,0.48,0.0,0.83,1.11,0.54,0.98
9,0.49,0.0,0.89,1.1,0.44,1.04
10,0.45,0.0,0.89,1.02,0.46,0.99
11,0.45,0.0,0.82,0.89,0.48,0.87
12,0.47,0.0,0.97,0.94,0.4,0.83
13,0.52,0.0,0.96,1.09,0.44,0.89
14,0.57,0.0,0.87,1.21,0.35,0.94
15,0.59,0.0,0.7,1.24,0.46,0.95
16,0.58,0.0,0.63,1.21,0.35,0.89
17,0.57,0.0,0.77,1.26,0.33,0.93
18,0.6,0.0,0.8,1.35,0.28,1.05
19,0.64,0.0,0.75,1.36,0.26,1.12
20,0.61,0.0,0.75,1.44,0.4,1.19
21,0.56,0.0,0.76,1.35,0.52,1.11
22,0.55,0.0,0.84,1.37,0.6,1.12
23,0.61,0.0,0.79,1.27,0.54,1.02
24,0.66,0.0,0.76,1.33,0.48,1.02
25,0.65,0.0,0.62,1.35,0.51,1.01
26,0.58,0.0,0.74,1.4,0.46,1.02
27,0.48,0.0,0.84,1.4,0.33,1.06
28,0.43,0.0,0.96,1.35,0.16,1.05
29,0.46,0.0,0.87,1.24,0.12,1.05
30,0.49,0.0,0.72,1.15,0.09,1.0
31,0.52,0.0,0.76,0.91,0.06,0.83
32,0.5,0.0,0.81,0.74,0.03,0.69
33,0.52,0.0,0.98,0.67,0.02,0.67
34,0.48,0.0,1.07,0.73,0.03,0.73
35,0.55,0.0,1.08,0.89,0.23,0.8
36,0.48,0.0,1.22,0.76,0.37,0.67
37,0.45,0.0,1.31,0.69,0.47,0.6
38,0.41,0.0,1.47,0.61,0.5,0.59
39,0.6,0.04,1.41,0.7,0.68,0.69
40,0.67,0.04,1.37,0.7,0.89,0.69
41,0.63,0.04,1.2,0.66,0.98,0.69
42,0.46,0.0,1.04,0.59,0.9,0.62
43,0.38,0.0,0.81,0.65,0.77,0.65
44,0.39,0.0,0.6,0.62,0.68,0.63
45,0.48,0.0,0.44,0.69,0.69,0.67
46,0.51,0.0,0.41,0.64,0.65,0.69
47,0.54,0.0,0.66,0.49,0.61,0.59
48,0.46,0.0,1.04,0.55,0.37,0.61
49,0.47,0.0,1.37,0.62,0.27,0.57
50,0.48,0.0,1.58,0.81,0.09,0.59
51,0.5,0.0,1.48,0.88,0.12,0.62
52,0.5,0.0,1.32,0.86,0.28,0.64
53,0.52,0.0,1.07,0.79,0.39,0.69
54,0.57,0.0,1.17,0.58,0.5,0.57
55,0.65,0.0,1.23,0.57,0.34,0.57
56,0.67,0.0,1.27,0.56,0.42,0.54
57,0.67,0.0,1.25,0.61,0.44,0.53
58,0.64,0.0,1.33,0.67,0.85,0.5
59,0.64,0.04,1.4,0.81,1.1,0.49
60,0.65,0.04,1.44,0.88,1.27,0.49
61,0.71,0.04,1.47,0.96,1.3,0.52
62,0.67,0.0,1.45,0.82,1.33,0.43
63,0.62,0.0,1.55,0.77,1.38,0.4
64,0.51,0.0,1.53,0.73,1.27,0.32
65,0.49,0.0,1.71,0.86,1.15,0.41
66,0.48,0.0,1.61,0.94,1.12,0.45
67,0.5,0.0,1.63,1.0,1.1,0.52
68,0.5,0.0,1.43,1.04,1.04,0.51
69,0.51,0.0,1.36,1.03,0.99,0.53
70,0.53,0.0,1.23,1.05,1.03,0.55
71,0.54,0.0,1.12,1.03,1.06,0.57
72,0.43,0.15,1.08,1.29,1.03,0.76
73,0.33,0.18,0.95,1.65,0.92,0.99
74,0.25,0.19,0.85,2.04,0.89,1.17
75,0.32,0.11,0.59,2.02,0.91,1.11
76,0.41,0.08,0.42,1.85,0.94,0.94
77,0.48,0.08,0.34,1.59,0.96,0.85
78,0.54,0.0,0.28,1.39,0.95,0.71
79,0.63,0.0,0.27,1.41,1.06,0.72
80,0.67,0.0,0.25,1.55,0.98,0.75
81,0.81,0.0,0.23,1.7,0.94,0.82
82,0.86,0.0,0.32,1.75,0.8,0.83
83,0.86,0.0,0.35,1.6,0.76,0.67
84,0.73,0.0,0.41,1.61,0.79,0.65
85,0.61,0.0,0.48,1.4,0.7,0.57
86,0.63,0.0,0.6,1.22,0.75,0.65
87,0.67,0.03,0.55,0.89,0.67,0.6
88,0.67,0.03,0.54,0.77,0.75,0.51
89,0.69,0.05,0.3,0.76,0.82,0.41
90,0.66,0.06,0.3,0.8,0.96,0.36
91,0.65,0.06,0.21,0.79,1.03,0.39
