frame,f1,f2,f3,f4,f5,f6
1,0.48,0.51,0.79,1.73,0.26,1.29
2,0.6,0.38,0.7,1.74,0.09,1.03
3,0.69,0.21,0.75,1.72,0.0,0.84
4,0.71,0.11,0.93,1.72,0.0,0.83
5,0.76,0.12,1.11,1.7,0.0,0.86
6,0.76,0.21,1.22,1.67,0.0,0.93
7,0.76,0.38,1.29,1.55,0.0,0.91
8,0.77,0.54,1.24,1.52,0.0,0.9
9,0.79,0.61,1.31,1.48,0.0,0.96
10,0.84,0.39,1.17,1.81,0.0,1.23
11,0.92,0.15,1.09,2.17,0.0,1.45
12,0.97,0.18,0.98,2.34,0.0,1.66
13,0.97,0.29,1.0,2.23,0.0,1.66
14,0.92,0.32,1.08,2.06,0.0,1.67
15,0.86,0.17,1.0,2.14,0.0,1.69
16,0.83,0.06,0.96,2.19,0.0,1.81
17,0.78,0.04,1.01,2.08,0.0,1.81
18,0.73,0.0,1.13,1.94,0.0,1.79
19,0.72,0.0,1.22,1.76,0.0,1.66
20,0.76,0.11,1.22,1.79,0.0,1.69
21,0.81,0.17,1.18,1.92,0.0,1.68
22,0.85,0.17,1.08,2.26,0.0,1.89
23,0.88,0.06,0.99,2.44,0.0,1.88
24,0.88,0.0,0.89,2.55,0.0,2.02
25,0.84,0.03,0.91,2.69,0.0,2.08
26,0.75,0.08,1.0,3.04,0.0,2.56
27,0.65,0.17,1.3,3.1,0.0,2.47
28,0.57,0.39,1.9,2.23,0.0,1.85
29,0.54,0.4,2.24,1.35,0.0,1.12
30,0.53,0.39,2.48,0.67,0.0,0.76
31,0.58,0.15,2.21,0.73,0.0,0.94
32,0.65,0.09,2.0,0.72,0.0,0.96
33,0.72,0.03,1.62,0.74,0.0,1.07
34,0.69,0.03,1.46,0.79,0.0,1.07
35,0.6,0.03,1.4,0.74,0.0,1.03
36,0.56,0.0,1.24,0.86,0.0,1.1
37,0.56,0.0,1.13,0.88,0.0,1.12
38,0.6,0.0,0.94,0.92,0.0,1.15
39,0.54,0.04,1.23,0.79,0.0,0.96
40,0.55,0.04,1.76,0.57,0.0,0.64
41,0.54,0.04,2.53,0.36,0.0,0.36
42,0.59,0.0,3.09,0.15,0.0,0.15
43,0.59,0.07,3.27,0.2,0.0,0.2
44,0.64,0.07,3.31,0.3,0.0,0.3
