zoom,phase,beeps,score,f1,f2,f3,f4,f5,f6
True,instructional_video_0,,,0.0,0.0839,0.0423,0.0083,0.0007,0.0581
True,discussion_phase_0,,,0.0002,0.129,0.021,0.0179,0.0126,0.0146
True,reschu_run_0,True,11,0.0001,0.076,0.0208,0.011,0.0038,0.0239
True,reschu_run_1,False,15,0.0001,0.0949,0.0214,0.0077,0.0023,0.0219
True,reschu_run_2,True,12,0.0001,0.0924,0.0252,0.0099,0.0031,0.0198
True,reschu_run_3,False,18,0.0001,0.0926,0.0215,0.0082,0.0026,0.0262
True,discussion_phase_1,,,0.0004,0.1004,0.0196,0.0197,0.0146,0.0177
True,reschu_run_4,True,10,0.0013,0.076,0.03,0.0131,0.0013,0.033
True,reschu_run_5,False,8,0.0,0.0287,0.0857,0.0,0.0,0.0008
True,reschu_run_6,True,14,0.0007,0.0228,0.0978,0.0026,0.0007,0.0017
