zoom,phase,beeps,score,f1,f2,f3,f4,f5,f6
True,discussion_phase_0,,,0.0002,0.1054,0.0221,0.0148,0.0001,0.0344
True,reschu_run_0,True,4,0.0003,0.0871,0.0283,0.0301,0.0013,0.0432
True,reschu_run_1,False,11,0.0004,0.0758,0.0284,0.0324,0.0003,0.0445
True,reschu_run_2,True,23,0.0004,0.0754,0.0267,0.0276,0.0007,0.036
True,reschu_run_3,False,21,0.0001,0.0707,0.0306,0.0282,0.0,0.0354
True,discussion_phase_1,,,0.0003,0.0865,0.0206,0.0144,0.0,0.0318
True,reschu_run_4,True,27,0.0003,0.0896,0.031,0.0438,0.0005,0.0468
True,reschu_run_5,False,24,0.0,0.1027,0.0203,0.0542,0.0,0.0688
True,reschu_run_6,True,21,0.0,0.0348,0.0235,0.0927,0.0004,0.1219
True,reschu_run_7,False,0,0.0003,0.0421,0.0361,0.0178,0.0025,0.018
