zoom,phase,beeps,score,f1,f2,f3,f4,f5,f6
True,instructional_video_0,,,0.0006,0.076,0.0207,0.0218,0.0207,0.022
True,discussion_phase_0,,,0.0009,0.0903,0.0167,0.0143,0.0381,0.0182
True,reschu_run_0,True,13,0.0008,0.09,0.0205,0.0196,0.0054,0.0205
True,reschu_run_1,False,16,0.0017,0.0737,0.0225,0.0173,0.0188,0.0241
True,reschu_run_2,True,14,0.0014,0.0532,0.0255,0.0191,0.0246,0.0244
True,reschu_run_3,False,22,0.0017,0.0959,0.0282,0.0187,0.0159,0.0287
True,discussion_phase_1,,,0.0006,0.0641,0.0174,0.0175,0.0547,0.0178
True,reschu_run_4,True,12,0.001,0.0575,0.026,0.0166,0.0135,0.0227
True,reschu_run_5,False,17,0.0021,0.0751,0.0237,0.0209,0.0093,0.0257
True,reschu_run_6,True,15,0.0014,0.0782,0.0221,0.0202,0.0058,0.0314
True,reschu_run_7,False,24,0.0017,0.0564,0.0239,0.0221,0.0154,0.0363
