frame,f1,f2,f3,f4,f5,f6
1,3.82,0.0,1.09,0.78,2.23,0.26
2,3.72,0.0,1.37,0.43,2.15,0.1
3,3.52,0.0,1.53,0.31,2.03,0.02
4,3.51,0.0,1.58,0.32,1.94,0.01
5,3.41,0.0,1.5,0.42,1.8,0.02
6,3.46,0.0,1.37,0.39,1.88,0.19
7,3.37,0.0,1.28,0.53,1.91,0.42
8,3.32,0.0,1.28,0.54,2.0,0.58
9,3.12,0.0,1.42,0.59,1.89,0.55
10,2.89,0.0,1.57,0.45,1.85,0.44
11,2.57,0.0,1.68,0.33,1.7,0.4
12,2.24,0.0,1.59,0.17,1.45,0.37
13,1.96,0.0,1.5,0.05,1.14,0.28
14,2.05,0.0,1.45,0.09,1.2,0.25
15,2.21,0.0,1.45,0.09,1.42,0.16
16,2.32,0.0,1.34,0.09,1.52,0.14
17,2.21,0.0,1.22,0.02,1.4,0.05
18,2.19,0.0,1.12,0.0,1.28,0.04
19,2.16,0.0,1.27,0.0,1.3,0.02
20,2.21,0.0,1.37,0.0,1.39,0.01
21,2.21,0.0,1.65,0.0,1.46,0.03
22,2.3,0.0,1.64,0.0,1.53,0.04
23,2.43,0.0,1.7,0.0,1.58,0.07
24,2.21,0.0,1.55,0.0,1.3,0.04
25,2.14,0.0,1.53,0.0,1.19,0.03
26,1.99,0.0,1.42,0.0,0.96,0.0
27,2.15,0.0,1.46,0.0,0.99,0.02
28,2.21,0.0,1.48,0.0,0.99,0.04
29,2.29,0.0,1.46,0.0,1.09,0.06
30,2.43,0.0,1.45,0.0,1.27,0.04
31,2.5,0.0,1.41,0.0,1.38,0.02
32,2.46,0.0,1.42,0.01,1.49,0.06
33,2.31,0.0,1.31,0.01,1.57,0.06
34,2.01,0.0,1.27,0.01,1.48,0.06
35,1.98,0.0,1.29,0.0,1.32,0.0
36,2.04,0.0,1.32,0.01,1.19,0.01
37,2.15,0.0,1.3,0.01,1.19,0.01
38,2.38,0.0,1.24,0.01,1.48,0.01
39,2.45,0.0,1.15,0.02,1.62,0.0
40,2.47,0.0,1.25,0.09,1.55,0.11
41,2.27,0.0,1.29,0.16,1.26,0.18
42,2.15,0.0,1.27,0.23,1.17,0.29
43,2.14,0.0,1.29,0.25,1.24,0.25
44,2.01,0.0,1.22,0.25,1.19,0.23
45,2.01,0.0,1.36,0.23,1.12,0.16
46,1.94,0.0,1.27,0.19,1.07,0.18
47,2.12,0.0,1.4,0.17,1.19,0.16
48,2.14,0.0,1.39,0.21,1.27,0.21
49,2.06,0.0,1.41,0.31,1.25,0.23
50,1.89,0.0,1.37,0.44,1.11,0.35
51,1.81,0.0,1.37,0.46,0.95,0.36
52,2.05,0.0,1.37,0.45,1.08,0.35
53,2.22,0.0,1.27,0.41,1.17,0.37
54,2.4,0.0,1.21,0.42,1.25,0.47
55,2.42,0.0,1.25,0.41,1.23,0.57
56,2.56,0.0,1.32,0.37,1.43,0.51
57,2.56,0.0,1.43,0.27,1.4,0.47
58,2.56,0.0,1.43,0.24,1.36,0.39
59,2.56,0.0,1.43,0.23,1.25,0.35
60,2.72,0.0,1.39,0.38,1.4,0.35
61,2.58,0.0,1.44,0.48,1.28,0.41
62,2.25,0.0,1.56,0.5,0.93,0.45
63,1.93,0.0,1.68,0.36,0.53,0.35
64,1.99,0.0,1.69,0.27,0.44,0.27
65,2.4,0.0,1.6,0.29,0.9,0.29
66,2.77,0.0,1.51,0.38,1.41,0.38
67,2.89,0.0,1.5,0.4,1.66,0.45
68,2.82,0.0,1.52,0.39,1.59,0.45
69,2.87,0.0,1.57,0.34,1.57,0.51
70,2.87,0.0,1.51,0.29,1.61,0.51
71,2.99,0.0,1.5,0.19,1.68,0.52
72,2.84,0.0,1.49,0.18,1.55,0.39
73,2.88,0.0,1.63,0.19,1.58,0.27
74,2.62,0.0,1.66,0.25,1.38,0.18
75,2.83,0.0,1.6,0.26,1.64,0.22
76,2.71,0.0,1.47,0.33,1.47,0.29
77,2.82,0.0,1.31,0.33,1.55,0.41
78,2.77,0.0,1.23,0.34,1.35,0.45
79,2.86,0.0,1.3,0.38,1.35,0.47
