frame,f1,f2,f3,f4,f5,f6
1,0.0,0.29,1.85,0.15,0.0,0.51
2,0.0,0.26,1.54,0.37,0.0,0.46
3,0.0,0.24,1.47,0.51,0.0,0.46
4,0.0,0.22,1.52,0.51,0.0,0.46
5,0.03,0.21,1.73,0.59,0.0,0.52
6,0.09,0.21,1.75,0.6,0.0,0.6
7,0.13,0.21,1.89,0.59,0.0,0.63
8,0.14,0.23,1.85,0.61,0.0,0.67
9,0.13,0.22,1.87,0.68,0.0,0.68
10,0.1,0.27,1.75,0.74,0.0,0.75
11,0.06,0.27,1.76,0.76,0.0,0.77
12,0.02,0.34,1.76,0.71,0.0,0.82
13,0.01,0.41,1.84,0.72,0.0,0.87
14,0.01,0.47,1.74,0.65,0.0,0.8
15,0.04,0.43,1.68,0.6,0.0,0.65
16,0.1,0.29,1.49,0.62,0.0,0.73
17,0.15,0.26,1.44,0.76,0.0,0.95
18,0.17,0.35,1.44,0.85,0.0,1.19
19,0.14,0.56,1.34,0.76,0.0,0.98
20,0.13,0.65,1.3,0.67,0.0,0.82
21,0.11,0.7,1.19,0.68,0.0,0.68
22,0.14,0.47,1.26,0.81,0.0,0.81
23,0.12,0.42,1.23,0.9,0.0,0.9
24,0.11,0.44,1.27,0.93,0.0,0.93
25,0.13,0.7,1.53,0.85,0.0,0.85
26,0.16,0.86,1.82,0.86,0.0,0.86
27,0.2,0.86,1.94,0.79,0.0,0.79
28,0.18,0.8,2.03,0.84,0.0,0.84
29,0.17,0.6,1.99,0.76,0.0,0.75
30,0.14,0.49,2.09,0.88,0.0,0.87
31,0.14,0.39,2.13,0.85,0.0,0.82
32,0.24,0.43,2.43,0.86,0.0,0.83
33,0.32,0.47,2.57,0.84,0.0,0.78
34,0.38,0.53,2.7,1.01,0.0,0.93
35,0.37,0.54,2.81,1.04,0.0,0.99
36,0.37,0.5,3.11,1.11,0.06,0.86
37,0.29,0.54,3.41,0.91,0.17,0.5
38,0.21,0.54,3.24,0.74,0.32,0.17
39,0.15,0.54,2.92,0.49,0.44,0.06
40,0.15,0.5,2.48,0.46,0.45,0.1
41,0.12,0.46,2.2,0.39,0.43,0.18
42,0.05,0.45,1.63,0.24,0.35,0.27
43,0.03,0.32,1.12,0.06,0.35,0.21
44,0.05,0.35,0.72,0.0,0.28,0.13
45,0.08,0.41,0.63,0.0,0.22,0.0
46,0.07,0.78,0.55,0.0,0.21,0.03
47,0.03,0.82,0.43,0.0,0.2,0.19
48,0.0,0.7,0.44,0.0,0.3,0.34
49,0.0,0.3,0.27,0.0,0.29,0.39
50,0.0,0.1,0.18,0.0,0.35,0.23
51,0.02,0.02,0.0,0.0,0.29,0.18
52,0.03,0.0,0.0,0.0,0.29,0.1
53,0.06,0.04,0.0,0.0,0.25,0.21
54,0.04,0.14,0.04,0.0,0.23,0.11
55,0.04,0.18,0.04,0.0,0.17,0.11
56,0.02,0.31,0.04,0.0,0.14,0.05
57,0.01,0.43,0.0,0.0,0.13,0.13
58,0.0,0.54,0.0,0.0,0.16,0.14
59,0.0,0.49,0.0,0.0,0.17,0.17
60,0.0,0.55,0.0,0.0,0.24,0.08
61,0.0,0.54,0.0,0.0,0.26,0.08
62,0.0,0.7,0.0,0.0,0.36,0.0
63,0.0,0.67,0.0,0.0,0.37,0.0
64,0.0,0.61,0.0,0.0,0.43,0.0
65,0.0,0.53,0.0,0.0,0.37,0.0
66,0.0,0.56,0.0,0.0,0.34,0.0
67,0.0,0.63,0.0,0.0,0.31,0.0
68,0.0,0.56,0.0,0.0,0.33,0.0
69,0.0,0.43,0.0,0.0,0.32,0.0
70,0.0,0.35,0.0,0.0,0.31,0.0
71,0.0,0.27,0.0,0.0,0.32,0.0
72,0.0,0.13,0.0,0.0,0.3,0.0
73,0.0,0.19,0.12,0.0,0.34,0.0
74,0.0,0.28,0.26,0.0,0.39,0.0
75,0.0,0.36,0.39,0.0,0.48,0.0
76,0.0,0.33,0.4,0.0,0.47,0.0
77,0.0,0.24,0.26,0.0,0.49,0.0
78,0.0,0.21,0.13,0.0,0.51,0.0
79,0.0,0.11,0.01,0.02,0.58,0.02
80,0.04,0.04,0.0,0.11,0.54,0.11
81,0.09,0.0,0.0,0.23,0.49,0.23
82,0.12,0.05,0.07,0.58,0.34,0.53
83,0.14,0.13,0.11,1.07,0.19,0.9
84,0.1,0.13,0.15,1.46,0.06,1.16
85,0.12,0.08,0.14,1.73,0.0,1.31
86,0.18,0.0,0.09,1.76,0.0,1.31
87,0.27,0.1,0.06,1.98,0.0,1.48
88,0.29,0.21,0.0,1.95,0.0,1.48
89,0.32,0.21,0.07,1.99,0.0,1.47
90,0.38,0.11,0.11,1.78,0.0,1.38
91,0.46,0.0,0.11,1.71,0.0,1.35
92,0.51,0.0,0.04,1.71,0.0,1.44
93,0.53,0.0,0.0,1.83,0.0,1.51
94,0.52,0.0,0.02,1.91,0.0,1.6
95,0.45,0.05,0.07,1.84,0.0,1.54
96,0.48,0.05,0.37,2.29,0.0,1.81
97,0.52,0.05,0.58,2.64,0.0,1.97
98,0.59,0.0,0.78,2.98,0.0,2.2
99,0.57,0.0,0.71,2.87,0.0,2.07
100,0.53,0.0,0.69,2.36,0.02,1.73
101,0.45,0.0,0.86,1.42,0.02,1.01
102,0.37,0.0,1.24,0.47,0.02,0.35
103,0.3,0.07,1.53,0.04,0.0,0.06
104,0.22,0.19,1.7,0.27,0.0,0.39
105,0.17,0.28,1.68,0.44,0.0,0.69
106,0.09,0.37,1.33,0.82,0.0,0.94
107,0.05,0.39,0.86,1.05,0.0,0.93
108,0.0,0.44,0.37,1.39,0.0,1.09
109,0.0,0.5,0.4,1.61,0.0,1.3
110,0.0,0.53,0.48,1.64,0.0,1.44
111,0.0,0.49,0.82,1.24,0.0,1.25
112,0.01,0.37,1.22,0.64,0.0,0.9
113,0.09,0.23,1.74,0.15,0.0,0.55
114,0.15,0.21,1.89,0.1,0.0,0.52
115,0.25,0.11,1.97,0.08,0.0,0.46
116,0.31,0.07,1.98,0.1,0.0,0.4
117,0.39,0.01,2.09,0.03,0.0,0.27
118,0.38,0.01,2.02,0.26,0.0,0.38
119,0.29,0.01,2.03,0.41,0.0,0.49
120,0.18,0.0,2.32,0.58,0.0,0.59
121,0.11,0.01,2.68,0.53,0.0,0.56
122,0.14,0.01,2.77,0.52,0.01,0.49
123,0.19,0.01,2.49,0.54,0.01,0.47
124,0.21,0.0,2.22,0.56,0.06,0.43
125,0.23,0.0,2.16,0.51,0.08,0.32
126,0.29,0.0,2.18,0.42,0.09,0.26
127,0.34,0.0,2.11,0.33,0.08,0.16
128,0.29,0.0,1.97,0.37,0.09,0.26
129,0.22,0.0,1.81,0.41,0.12,0.25
130,0.11,0.0,1.81,0.57,0.1,0.31
131,0.1,0.04,1.63,0.77,0.07,0.37
132,0.07,0.1,1.62,1.0,0.05,0.58
133,0.1,0.24,1.51,1.06,0.08,0.78
134,0.09,0.21,1.43,1.1,0.1,0.9
135,0.08,0.14,1.27,1.12,0.1,0.95
136,0.09,0.0,1.27,1.09,0.09,0.94
137,0.15,0.0,1.42,1.06,0.11,0.89
138,0.2,0.0,1.59,1.08,0.15,0.8
139,0.25,0.0,1.56,1.11,0.19,0.74
140,0.21,0.0,1.6,1.04,0.23,0.7
141,0.19,0.0,1.57,0.91,0.24,0.66
142,0.17,0.0,1.69,0.79,0.21,0.73
143,0.2,0.0,1.79,0.77,0.18,0.72
144,0.24,0.0,1.85,0.55,0.14,0.63
145,0.21,0.0,2.05,0.4,0.14,0.46
146,0.21,0.02,2.18,0.19,0.15,0.3
147,0.2,0.02,2.29,0.16,0.18,0.22
148,0.23,0.02,2.18,0.16,0.21,0.26
149,0.24,0.0,2.15,0.26,0.23,0.32
150,0.24,0.0,1.91,0.42,0.24,0.45
151,0.26,0.0,1.76,0.6,0.27,0.41
152,0.3,0.0,1.57,0.65,0.31,0.45
153,0.34,0.0,1.61,0.63,0.32,0.44
154,0.33,0.05,1.39,0.56,0.29,0.43
155,0.25,0.16,1.12,0.45,0.3,0.34
156,0.18,0.16,1.01,0.65,0.31,0.47
157,0.14,0.11,1.11,0.95,0.32,0.76
158,0.16,0.0,1.18,1.31,0.33,1.02
159,0.17,0.0,1.14,1.28,0.34,1.0
160,0.16,0.0,1.17,1.13,0.38,0.89
161,0.16,0.0,1.17,0.99,0.41,0.85
162,0.18,0.0,1.23,0.95,0.44,0.86
163,0.2,0.0,1.25,0.99,0.47,0.91
164,0.19,0.0,1.34,0.98,0.46,0.88
165,0.19,0.0,1.35,1.01,0.48,0.87
166,0.15,0.06,1.43,0.94,0.49,0.74
167,0.16,0.06,1.4,0.91,0.53,0.65
168,0.09,0.06,1.32,1.09,0.57,0.72
169,0.07,0.0,1.3,1.16,0.62,0.79
170,0.05,0.0,1.43,1.32,0.59,0.88
171,0.09,0.0,1.53,1.28,0.55,0.85
172,0.16,0.1,1.51,1.27,0.47,0.83
173,0.22,0.11,1.47,1.1,0.62,0.77
174,0.34,0.19,1.45,0.96,0.75,0.65
175,0.36,0.1,1.39,1.1,0.8,0.73
176,0.35,0.08,1.32,1.19,0.67,0.68
177,0.29,0.05,1.33,1.16,0.57,0.65
178,0.21,0.06,0.97,1.03,0.49,0.6
179,0.15,0.06,0.56,1.03,0.41,0.71
180,0.08,0.0,0.35,1.21,0.34,0.94
181,0.07,0.0,0.48,1.28,0.31,1.02
182,0.09,0.0,0.8,1.35,0.32,1.12
183,0.16,0.0,0.67,1.5,0.33,1.14
184,0.23,0.0,0.67,1.64,0.35,1.09
185,0.31,0.0,0.44,1.65,0.27,0.93
186,0.32,0.0,0.58,1.22,0.22,0.76
187,0.31,0.0,0.7,0.95,0.11,0.71
188,0.27,0.0,0.96,0.97,0.06,0.83
189,0.28,0.0,1.17,1.27,0.01,0.97
190,0.28,0.0,1.51,1.38,0.04,0.99
191,0.27,0.0,1.68,1.37,0.04,0.88
192,0.28,0.0,1.86,1.2,0.05,0.67
193,0.31,0.0,1.76,0.97,0.04,0.45
194,0.33,0.0,1.68,0.8,0.04,0.39
195,0.3,0.0,1.45,0.68,0.03,0.33
196,0.32,0.0,1.39,0.63,0.02,0.33
197,0.35,0.0,1.46,0.44,0.02,0.16
198,0.45,0.0,1.49,0.31,0.02,0.12
199,0.53,0.0,1.56,0.29,0.07,0.09
200,0.57,0.0,1.55,0.36,0.11,0.09
201,0.58,0.0,1.69,0.44,0.15,0.04
202,0.6,0.0,1.78,0.43,0.08,0.0
203,0.61,0.0,1.89,0.41,0.1,0.0
204,0.53,0.0,2.02,0.42,0.08,0.12
205,0.42,0.0,2.13,0.6,0.09,0.37
206,0.22,0.02,2.03,1.05,0.04,1.03
207,0.11,0.07,1.88,1.62,0.01,1.47
208,0.0,0.13,1.62,2.18,0.0,1.93
209,0.03,0.14,1.74,2.11,0.0,1.71
210,0.08,0.08,1.92,1.68,0.0,1.5
211,0.19,0.02,2.27,0.97,0.0,0.93
212,0.27,0.0,2.39,0.57,0.0,0.63
213,0.33,0.0,2.51,0.34,0.0,0.43
214,0.28,0.0,2.35,0.37,0.09,0.32
215,0.26,0.0,2.2,0.43,0.15,0.23
216,0.23,0.05,2.18,0.48,0.25,0.12
217,0.29,0.05,2.35,0.34,0.23,0.1
218,0.33,0.05,2.47,0.37,0.28,0.19
219,0.35,0.0,2.46,0.67,0.25,0.36
220,0.39,0.0,2.34,1.17,0.25,0.73
221,0.42,0.04,2.21,1.69,0.26,1.11
222,0.4,0.04,2.17,1.9,0.26,1.3
223,0.39,0.04,1.91,1.94,0.26,1.31
224,0.35,0.0,1.79,1.85,0.15,1.16
225,0.39,0.0,1.56,1.77,0.08,1.1
226,0.3,0.0,1.55,1.85,0.02,1.12
227,0.28,0.0,1.46,1.72,0.01,1.05
228,0.25,0.0,1.35,1.59,0.06,1.14
229,0.26,0.0,1.49,1.26,0.09,1.13
230,0.2,0.0,1.55,1.29,0.18,1.22
231,0.15,0.0,1.61,1.39,0.24,1.31
232,0.13,0.0,1.48,1.65,0.31,1.35
233,0.16,0.0,1.33,1.71,0.32,1.35
234,0.15,0.0,1.06,1.77,0.3,1.35
235,0.16,0.0,0.93,1.8,0.26,1.3
236,0.14,0.0,0.83,1.81,0.22,1.4
237,0.15,0.0,0.89,1.79,0.16,1.38
238,0.11,0.0,1.02,1.73,0.12,1.34
239,0.06,0.0,1.04,1.75,0.12,1.27
240,0.01,0.06,1.21,1.89,0.08,1.41
241,0.04,0.12,1.21,1.72,0.11,1.51
242,0.11,0.2,1.42,1.4,0.06,1.44
243,0.26,0.14,1.53,0.9,0.07,1.01
244,0.38,0.11,1.72,0.71,0.07,0.67
245,0.48,0.03,1.84,0.53,0.13,0.45
246,0.54,0.03,1.81,0.48,0.16,0.35
247,0.59,0.0,1.72,0.42,0.1,0.29
248,0.59,0.0,1.66,0.57,0.04,0.29
249,0.57,0.0,1.7,0.62,0.0,0.33
250,0.49,0.0,1.82,0.64,0.06,0.36
251,0.42,0.0,2.13,0.49,0.1,0.26
252,0.34,0.0,2.2,0.37,0.14,0.26
253,0.34,0.0,2.29,0.32,0.08,0.25
254,0.36,0.0,2.21,0.34,0.03,0.27
255,0.38,0.0,2.16,0.33,0.0,0.23
256,0.43,0.0,1.96,0.36,0.0,0.25
257,0.48,0.0,1.78,0.36,0.0,0.32
258,0.49,0.0,1.81,0.32,0.0,0.3
259,0.47,0.0,1.92,0.28,0.0,0.31
