frame,f1,f2,f3,f4,f5,f6
123,5.95,0.0,2.97,0.44,2.99,0.9
124,5.81,0.0,3.14,0.4,3.09,0.87
125,5.73,0.0,3.26,0.33,3.14,0.76
126,5.62,0.0,3.23,0.27,3.11,0.6
127,5.84,0.0,3.2,0.31,3.17,0.54
128,6.2,0.0,3.08,0.47,3.42,0.57
129,6.55,0.0,3.07,0.67,3.66,0.61
130,6.05,0.0,3.07,0.66,2.89,0.61
131,5.28,0.0,3.12,0.64,1.81,0.59
132,4.63,0.0,3.09,0.61,0.72,0.66
133,4.69,0.0,3.02,0.75,0.61,0.76
134,5.42,0.0,2.84,0.72,1.26,0.79
135,6.21,0.0,2.63,0.74,2.18,0.79
136,6.96,0.0,2.47,0.74,3.21,0.78
137,7.09,0.0,2.4,0.8,3.49,0.82
138,7.16,0.0,2.51,0.81,3.51,0.92
139,7.27,0.0,2.62,0.76,3.48,0.96
140,7.58,0.0,2.72,0.79,3.82,0.92
141,7.57,0.0,2.8,0.76,4.02,0.81
142,7.22,0.0,3.09,0.75,3.6,0.77
143,6.12,0.0,3.4,0.66,2.4,0.79
144,5.11,0.0,3.5,0.51,1.38,0.87
145,4.82,0.0,3.43,0.35,1.09,0.94
146,5.44,0.0,3.24,0.31,1.83,1.05
147,6.1,0.0,3.15,0.4,2.39,1.1
148,5.7,0.0,3.13,0.58,2.05,1.09
149,5.05,0.0,3.05,0.65,1.36,1.03
150,4.44,0.0,2.95,0.78,0.83,0.97
151,4.56,0.0,2.76,0.8,1.14,0.98
152,4.86,0.0,2.84,0.81,1.55,0.96
153,5.31,0.0,2.69,0.82,2.01,0.89
154,5.8,0.0,2.62,0.81,2.37,0.83
155,5.52,0.0,2.57,0.8,2.02,0.83
156,5.07,0.0,2.64,0.71,1.4,0.94
157,4.51,0.0,2.6,0.72,0.77,1.02
158,4.61,0.0,2.54,0.68,1.03,1.06
159,5.09,0.0,2.41,0.68,2.04,0.99
160,5.64,0.0,2.58,0.67,3.22,0.82
161,5.7,0.0,2.93,0.77,3.78,0.83
162,5.32,0.0,3.43,0.82,3.81,0.82
163,4.66,0.0,3.64,0.76,3.32,0.93
164,3.86,0.0,3.79,0.73,2.44,0.9
165,3.17,0.05,3.72,0.7,1.48,0.91
166,2.97,0.05,3.77,0.63,1.07,0.81
167,3.74,0.05,3.49,0.42,1.82,0.69
168,4.2,0.03,3.45,0.2,2.29,0.55
169,4.43,0.06,3.36,0.2,2.5,0.4
170,4.14,0.06,3.2,0.43,2.24,0.4
171,4.11,0.03,2.89,1.11,2.3,0.76
172,4.2,0.0,2.49,2.06,2.64,1.38
173,4.16,0.0,2.15,3.2,2.87,1.97
174,4.42,0.0,2.01,3.6,3.35,2.14
175,4.51,0.0,2.04,3.17,3.45,1.84
176,4.79,0.0,2.11,2.05,3.58,1.33
177,4.93,0.0,2.25,1.51,3.49,1.09
178,5.19,0.0,2.32,1.34,3.63,1.12
179,5.42,0.0,2.52,1.68,3.9,1.2
180,5.42,0.0,2.33,1.64,4.18,0.97
181,5.3,0.0,2.13,1.6,4.27,0.63
182,5.25,0.0,1.88,1.46,4.46,0.56
183,4.91,0.0,1.74,2.02,4.31,0.81
184,4.7,0.0,1.72,2.54,4.39,1.2
185,4.13,0.0,1.56,2.67,4.09,1.26
186,3.81,0.0,1.56,2.02,4.1,1.09
187,3.63,0.0,1.43,1.52,4.02,0.91
188,3.82,0.0,1.34,1.37,4.3,0.84
189,4.46,0.0,1.15,1.45,4.79,0.75
190,4.83,0.0,1.07,1.48,4.99,0.76
191,5.38,0.0,1.07,1.58,5.29,0.95
192,5.63,0.0,1.16,1.69,5.24,1.27
193,5.99,0.0,1.31,1.83,5.36,1.56
194,6.18,0.0,1.41,1.89,5.35,1.56
195,6.31,0.0,1.54,1.88,5.33,1.35
196,6.54,0.0,1.55,1.84,5.44,1.11
197,6.95,0.0,1.65,1.86,5.77,1.1
198,7.08,0.0,1.71,1.85,5.87,1.21
199,7.03,0.0,1.68,1.9,5.82,1.3
200,6.59,0.0,1.57,1.97,5.38,1.26
201,6.53,0.0,1.45,2.12,5.32,1.35
202,6.4,0.0,1.63,2.16,5.15,1.49
203,6.34,0.0,1.91,2.03,5.11,1.61
204,5.86,0.0,2.17,1.78,4.94,1.49
205,5.58,0.0,2.13,1.61,5.03,1.33
206,5.38,0.0,2.04,1.57,5.09,1.19
