zoom,phase,beeps,score,f1,f2,f3,f4,f5,f6
True,instructional_video_0,,,0.0034,0.0168,0.0236,0.009,0.3612,0.0414
True,discussion_phase_0,,,0.0005,0.0595,0.0118,0.018,0.1634,0.0304
True,reschu_run_0,True,15,0.0022,0.0322,0.0163,0.0129,0.3388,0.0361
True,reschu_run_1,False,20,0.0302,0.0546,0.0238,0.0139,0.4587,0.0357
True,reschu_run_2,True,17,0.0711,0.085,0.023,0.0281,0.498,0.0291
