frame,f1,f2,f3,f4,f5,f6
1,0.0,0.06,0.31,0.88,0.05,0.48
2,0.0,0.04,0.31,0.41,0.02,0.33
3,0.0,0.03,0.37,0.17,0.01,0.23
4,0.0,0.01,0.44,0.19,0.02,0.21
5,0.0,0.06,0.58,0.1,0.03,0.11
6,0.0,0.08,0.61,0.09,0.03,0.09
7,0.0,0.08,0.61,0.07,0.01,0.07
8,0.0,0.07,0.54,0.1,0.02,0.1
9,0.0,0.04,0.38,0.1,0.02,0.1
10,0.0,0.04,0.35,0.08,0.02,0.15
11,0.0,0.01,0.29,0.05,0.04,0.15
12,0.0,0.07,0.37,0.03,0.04,0.14
13,0.0,0.3,0.34,0.03,0.07,0.07
14,0.0,0.46,0.36,0.03,0.04,0.09
15,0.0,0.43,0.39,0.0,0.04,0.12
16,0.0,0.2,0.32,0.0,0.01,0.15
17,0.0,0.03,0.35,0.0,0.02,0.1
18,0.0,0.0,0.41,0.0,0.05,0.03
19,0.0,0.0,0.57,0.0,0.1,0.03
20,0.0,0.0,0.59,0.0,0.14,0.03
21,0.0,0.0,0.52,0.0,0.12,0.07
22,0.0,0.0,0.52,0.01,0.07,0.06
23,0.0,0.0,0.49,0.01,0.03,0.06
24,0.0,0.0,0.55,0.04,0.01,0.13
25,0.0,0.0,0.57,0.05,0.01,0.2
26,0.0,0.0,0.68,0.05,0.0,0.27
27,0.0,0.0,0.77,0.02,0.0,0.21
28,0.0,0.0,0.73,0.0,0.0,0.18
29,0.0,0.0,0.71,0.0,0.0,0.16
30,0.0,0.0,0.53,0.0,0.0,0.19
31,0.0,0.0,0.5,0.05,0.0,0.18
32,0.0,0.0,0.52,0.05,0.0,0.13
33,0.0,0.0,0.62,0.05,0.0,0.06
34,0.0,0.0,0.6,0.04,0.0,0.08
35,0.0,0.0,0.57,0.04,0.0,0.14
36,0.0,0.04,0.38,0.08,0.05,0.27
37,0.0,0.08,0.29,0.07,0.07,0.26
38,0.0,0.11,0.16,0.11,0.09,0.34
39,0.0,0.07,0.28,0.12,0.07,0.4
40,0.0,0.03,0.28,0.15,0.07,0.49
41,0.0,0.01,0.28,0.17,0.15,0.56
42,0.0,0.01,0.25,0.21,0.2,0.61
43,0.0,0.06,0.38,0.22,0.26,0.64
44,0.0,0.05,0.47,0.22,0.22,0.62
45,0.0,0.05,0.55,0.2,0.24,0.56
46,0.0,0.0,0.54,0.18,0.25,0.45
47,0.0,0.0,0.44,0.19,0.28,0.4
48,0.0,0.0,0.4,0.13,0.24,0.23
49,0.0,0.15,0.37,0.09,0.26,0.18
50,0.0,0.21,0.47,0.03,0.25,0.03
51,0.0,0.27,0.55,0.03,0.38,0.03
52,0.0,0.12,0.55,0.01,0.46,0.03
53,0.0,0.06,0.61,0.0,0.62,0.05
54,0.0,0.01,0.63,0.0,0.79,0.05
55,0.0,0.08,0.77,0.0,0.85,0.03
56,0.0,0.13,0.71,0.05,0.7,0.0
57,0.0,0.27,0.7,0.07,0.5,0.0
58,0.0,0.37,0.7,0.25,0.48,0.1
59,0.0,0.48,0.78,0.4,0.51,0.23
60,0.0,0.43,0.75,0.54,0.54,0.39
61,0.0,0.31,0.79,0.47,0.41,0.48
62,0.0,0.22,0.77,0.35,0.38,0.39
63,0.0,0.12,1.01,0.33,0.37,0.31
64,0.0,0.24,1.06,0.45,0.32,0.23
65,0.0,0.17,1.04,0.58,0.27,0.3
66,0.0,0.16,0.87,0.51,0.11,0.22
67,0.0,0.0,0.78,0.49,0.03,0.39
68,0.0,0.0,0.69,0.39,0.01,0.41
69,0.0,0.0,0.5,0.42,0.04,0.61
70,0.0,0.0,0.31,0.36,0.04,0.65
71,0.0,0.0,0.16,0.4,0.07,0.78
72,0.0,0.0,0.17,0.3,0.14,0.62
73,0.0,0.0,0.13,0.15,0.19,0.42
74,0.0,0.0,0.17,0.0,0.17,0.2
75,0.0,0.04,0.16,0.0,0.07,0.22
76,0.0,0.04,0.16,0.0,0.01,0.11
77,0.0,0.04,0.14,0.03,0.0,0.06
78,0.0,0.0,0.13,0.18,0.0,0.0
79,0.0,0.0,0.15,0.33,0.0,0.0
80,0.0,0.0,0.13,0.46,0.0,0.0
81,0.0,0.04,0.1,0.53,0.0,0.0
82,0.0,0.04,0.13,0.61,0.0,0.01
83,0.0,0.04,0.23,0.65,0.06,0.01
84,0.0,0.0,0.26,0.72,0.06,0.01
85,0.0,0.0,0.26,0.84,0.12,0.0
86,0.02,0.0,0.23,1.0,0.11,0.0
87,0.04,0.0,0.16,0.91,0.11,0.0
88,0.08,0.0,0.13,0.62,0.05,0.0
89,0.11,0.0,0.05,0.38,0.0,0.0
90,0.14,0.0,0.05,0.37,0.02,0.0
91,0.17,0.0,0.01,0.44,0.02,0.0
92,0.22,0.0,0.01,0.55,0.02,0.0
93,0.21,0.0,0.01,0.52,0.0,0.0
94,0.2,0.0,0.07,0.61,0.07,0.02
95,0.17,0.0,0.13,0.71,0.11,0.02
96,0.15,0.0,0.29,0.76,0.19,0.02
97,0.14,0.0,0.28,0.83,0.26,0.0
98,0.12,0.06,0.4,0.65,0.31,0.02
99,0.14,0.06,0.38,0.55,0.37,0.02
100,0.09,0.06,0.41,0.41,0.36,0.02
101,0.05,0.18,0.32,0.68,0.44,0.06
102,0.01,0.34,0.5,1.01,0.3,0.16
103,0.0,0.34,0.73,1.17,0.23,0.22
104,0.0,0.16,0.98,1.24,0.11,0.34
105,0.0,0.0,0.77,1.02,0.11,0.35
106,0.0,0.0,0.54,1.1,0.07,0.51
107,0.0,0.0,0.21,0.77,0.03,0.39
108,0.0,0.0,0.11,0.6,0.0,0.33
109,0.0,0.0,0.04,0.29,0.04,0.11
110,0.0,0.0,0.07,0.25,0.06,0.08
111,0.0,0.0,0.15,0.37,0.06,0.14
112,0.0,0.0,0.13,0.43,0.02,0.2
113,0.0,0.0,0.08,0.43,0.0,0.2
114,0.0,0.0,0.0,0.23,0.0,0.09
115,0.0,0.0,0.05,0.12,0.02,0.03
116,0.0,0.0,0.05,0.14,0.02,0.0
117,0.0,0.0,0.05,0.18,0.05,0.0
118,0.0,0.0,0.0,0.16,0.03,0.02
119,0.0,0.0,0.05,0.08,0.03,0.04
120,0.0,0.0,0.11,0.08,0.03,0.07
121,0.0,0.0,0.16,0.15,0.05,0.14
122,0.0,0.0,0.21,0.25,0.06,0.24
123,0.0,0.01,0.21,0.25,0.03,0.25
124,0.0,0.01,0.24,0.18,0.01,0.18
125,0.0,0.05,0.27,0.1,0.0,0.1
126,0.0,0.04,0.32,0.14,0.0,0.14
127,0.0,0.04,0.36,0.18,0.05,0.16
128,0.0,0.01,0.42,0.29,0.05,0.21
129,0.0,0.07,0.43,0.4,0.05,0.26
130,0.0,0.07,0.39,0.37,0.02,0.25
131,0.0,0.06,0.38,0.21,0.1,0.17
132,0.0,0.0,0.3,0.04,0.1,0.06
133,0.0,0.11,0.26,0.01,0.11,0.03
134,0.0,0.18,0.12,0.01,0.06,0.01
135,0.0,0.19,0.12,0.03,0.06,0.03
136,0.0,0.19,0.11,0.03,0.04,0.03
137,0.0,0.25,0.06,0.04,0.02,0.03
138,0.0,0.38,0.03,0.03,0.0,0.0
139,0.0,0.26,0.04,0.05,0.0,0.0
140,0.0,0.13,0.09,0.09,0.01,0.0
141,0.0,0.0,0.14,0.1,0.01,0.0
142,0.0,0.0,0.28,0.08,0.04,0.0
143,0.0,0.03,0.29,0.07,0.1,0.01
144,0.0,0.03,0.32,0.1,0.1,0.07
145,0.0,0.02,0.27,0.16,0.07,0.13
146,0.0,0.0,0.33,0.12,0.0,0.12
147,0.0,0.0,0.37,0.09,0.0,0.09
148,0.0,0.0,0.39,0.07,0.01,0.07
149,0.0,0.0,0.34,0.12,0.01,0.12
150,0.0,0.0,0.32,0.1,0.01,0.1
151,0.0,0.0,0.26,0.12,0.0,0.12
152,0.0,0.0,0.29,0.09,0.04,0.09
153,0.0,0.0,0.26,0.16,0.04,0.16
154,0.0,0.0,0.26,0.11,0.04,0.11
155,0.0,0.0,0.24,0.17,0.0,0.17
156,0.0,0.0,0.17,0.11,0.0,0.11
157,0.0,0.0,0.08,0.1,0.0,0.1
158,0.0,0.0,0.02,0.05,0.0,0.05
159,0.0,0.0,0.09,0.02,0.0,0.02
160,0.0,0.0,0.14,0.03,0.0,0.03
161,0.0,0.0,0.19,0.01,0.0,0.01
162,0.0,0.0,0.16,0.01,0.0,0.01
163,0.0,0.0,0.16,0.0,0.0,0.0
164,0.0,0.0,0.11,0.0,0.0,0.0
165,0.0,0.0,0.07,0.0,0.0,0.0
166,0.0,0.0,0.06,0.08,0.0,0.08
167,0.0,0.0,0.11,0.16,0.0,0.16
168,0.0,0.0,0.19,0.16,0.0,0.16
169,0.0,0.0,0.19,0.09,0.0,0.09
170,0.0,0.0,0.18,0.05,0.0,0.05
171,0.0,0.0,0.17,0.09,0.0,0.09
172,0.0,0.0,0.2,0.13,0.0,0.13
173,0.0,0.0,0.22,0.13,0.0,0.13
174,0.0,0.0,0.22,0.14,0.0,0.14
175,0.0,0.0,0.19,0.11,0.0,0.11
176,0.0,0.0,0.17,0.08,0.0,0.08
177,0.0,0.0,0.16,0.09,0.0,0.09
178,0.0,0.0,0.17,0.1,0.0,0.1
179,0.0,0.0,0.11,0.09,0.0,0.09
180,0.0,0.0,0.16,0.02,0.0,0.02
181,0.0,0.0,0.22,0.0,0.0,0.0
182,0.0,0.0,0.34,0.01,0.0,0.01
183,0.0,0.0,0.37,0.01,0.0,0.01
184,0.0,0.0,0.4,0.02,0.0,0.01
185,0.0,0.0,0.41,0.02,0.0,0.0
186,0.0,0.0,0.33,0.02,0.0,0.01
187,0.0,0.0,0.31,0.01,0.0,0.01
188,0.0,0.0,0.24,0.0,0.0,0.01
189,0.0,0.0,0.28,0.0,0.0,0.04
190,0.0,0.0,0.32,0.06,0.0,0.1
191,0.0,0.0,0.33,0.13,0.0,0.17
192,0.0,0.0,0.33,0.13,0.0,0.13
193,0.0,0.0,0.2,0.07,0.0,0.07
194,0.0,0.0,0.21,0.0,0.0,0.0
195,0.0,0.0,0.22,0.0,0.0,0.0
196,0.0,0.0,0.23,0.0,0.0,0.0
197,0.0,0.0,0.17,0.0,0.0,0.0
198,0.0,0.0,0.11,0.0,0.0,0.0
199,0.0,0.0,0.18,0.0,0.0,0.0
200,0.0,0.0,0.25,0.0,0.0,0.0
201,0.0,0.0,0.29,0.0,0.0,0.0
202,0.0,0.0,0.26,0.0,0.0,0.0
203,0.0,0.0,0.18,0.0,0.0,0.0
204,0.0,0.0,0.14,0.0,0.0,0.0
205,0.0,0.0,0.13,0.0,0.03,0.0
206,0.0,0.0,0.11,0.0,0.07,0.0
207,0.0,0.0,0.1,0.0,0.09,0.0
208,0.0,0.0,0.16,0.0,0.06,0.0
209,0.0,0.0,0.28,0.01,0.02,0.01
210,0.0,0.02,0.44,0.01,0.03,0.01
211,0.0,0.05,0.47,0.05,0.06,0.05
212,0.0,0.05,0.51,0.06,0.1,0.06
213,0.0,0.03,0.4,0.06,0.11,0.06
214,0.0,0.0,0.39,0.04,0.08,0.05
215,0.0,0.0,0.31,0.01,0.02,0.02
216,0.0,0.0,0.45,0.01,0.01,0.02
217,0.0,0.0,0.51,0.0,0.04,0.0
218,0.0,0.0,0.52,0.0,0.07,0.0
219,0.0,0.0,0.45,0.0,0.06,0.0
220,0.0,0.0,0.36,0.0,0.04,0.0
221,0.0,0.0,0.37,0.0,0.04,0.0
222,0.0,0.0,0.39,0.0,0.09,0.0
223,0.0,0.0,0.49,0.0,0.08,0.0
224,0.0,0.0,0.56,0.0,0.08,0.0
225,0.0,0.0,0.59,0.0,0.08,0.01
226,0.0,0.0,0.5,0.0,0.08,0.01
227,0.0,0.0,0.41,0.0,0.04,0.01
228,0.0,0.0,0.45,0.03,0.0,0.03
229,0.0,0.0,0.51,0.09,0.01,0.09
230,0.0,0.0,0.59,0.1,0.07,0.1
231,0.0,0.0,0.5,0.1,0.14,0.1
232,0.0,0.0,0.5,0.04,0.19,0.04
233,0.0,0.0,0.5,0.04,0.19,0.04
234,0.0,0.0,0.57,0.01,0.18,0.01
235,0.0,0.0,0.6,0.05,0.17,0.05
236,0.0,0.0,0.55,0.05,0.15,0.05
237,0.0,0.0,0.48,0.05,0.09,0.05
238,0.0,0.0,0.31,0.01,0.12,0.01
239,0.0,0.0,0.19,0.03,0.19,0.03
240,0.0,0.02,0.15,0.03,0.18,0.06
241,0.0,0.1,0.21,0.02,0.17,0.05
242,0.0,0.1,0.29,0.0,0.1,0.03
243,0.0,0.08,0.28,0.0,0.13,0.0
244,0.0,0.0,0.23,0.0,0.08,0.0
245,0.0,0.0,0.26,0.0,0.04,0.0
246,0.0,0.0,0.29,0.01,0.01,0.01
247,0.0,0.0,0.38,0.01,0.0,0.01
248,0.0,0.0,0.44,0.01,0.0,0.01
249,0.0,0.0,0.52,0.0,0.01,0.0
250,0.0,0.0,0.58,0.0,0.06,0.0
251,0.0,0.0,0.57,0.0,0.15,0.0
252,0.0,0.0,0.55,0.03,0.14,0.03
253,0.0,0.0,0.53,0.03,0.09,0.03
254,0.0,0.0,0.52,0.05,0.06,0.05
255,0.0,0.0,0.52,0.02,0.12,0.02
256,0.0,0.0,0.45,0.02,0.13,0.02
257,0.0,0.0,0.38,0.01,0.13,0.01
258,0.0,0.0,0.39,0.01,0.07,0.01
259,0.0,0.0,0.42,0.0,0.06,0.0
260,0.0,0.0,0.43,0.0,0.0,0.0
261,0.0,0.0,0.37,0.0,0.0,0.0
262,0.0,0.0,0.27,0.01,0.0,0.01
263,0.0,0.0,0.23,0.01,0.0,0.01
264,0.0,0.0,0.17,0.01,0.01,0.01
265,0.0,0.0,0.14,0.0,0.01,0.08
266,0.0,0.0,0.08,0.01,0.04,0.16
267,0.0,0.0,0.15,0.02,0.09,0.27
268,0.0,0.0,0.21,0.02,0.15,0.24
269,0.0,0.0,0.19,0.01,0.13,0.18
270,0.0,0.0,0.18,0.0,0.07,0.07
271,0.0,0.0,0.2,0.0,0.01,0.03
272,0.0,0.0,0.31,0.0,0.05,0.01
273,0.0,0.0,0.24,0.0,0.11,0.0
274,0.0,0.0,0.2,0.0,0.15,0.01
275,0.0,0.0,0.08,0.0,0.18,0.05
276,0.0,0.0,0.16,0.03,0.22,0.05
277,0.0,0.0,0.27,0.12,0.19,0.07
278,0.0,0.0,0.47,0.14,0.12,0.05
