frame,f1,f2,f3,f4,f5,f6
1,0.0,0.03,0.36,0.32,0.08,0.32
2,0.0,0.35,0.18,0.44,0.17,0.58
3,0.0,0.49,0.08,0.46,0.25,0.65
4,0.0,0.58,0.06,0.45,0.31,0.6
5,0.0,0.66,0.14,0.37,0.27,0.46
6,0.0,0.81,0.21,0.34,0.23,0.41
7,0.0,0.86,0.25,0.24,0.2,0.32
8,0.0,0.83,0.16,0.27,0.2,0.35
9,0.0,0.78,0.08,0.25,0.21,0.3
10,0.0,0.77,0.0,0.33,0.23,0.33
11,0.0,0.78,0.0,0.37,0.27,0.37
12,0.0,0.83,0.0,0.43,0.35,0.56
13,0.0,0.8,0.0,0.46,0.41,0.79
14,0.0,0.76,0.02,0.47,0.44,1.04
15,0.0,0.67,0.02,0.46,0.4,1.07
16,0.0,0.61,0.02,0.45,0.36,1.05
17,0.0,0.57,0.02,0.45,0.33,0.99
18,0.0,0.56,0.03,0.49,0.31,1.01
19,0.0,0.68,0.06,0.51,0.29,1.04
20,0.0,0.72,0.04,0.48,0.26,0.97
21,0.0,0.71,0.03,0.45,0.27,0.88
22,0.0,0.62,0.04,0.36,0.23,0.64
23,0.0,0.58,0.05,0.28,0.24,0.48
24,0.0,0.55,0.1,0.27,0.13,0.39
25,0.0,0.47,0.11,0.34,0.12,0.42
26,0.0,0.38,0.1,0.37,0.08,0.39
27,0.0,0.33,0.06,0.29,0.12,0.35
28,0.0,0.41,0.08,0.26,0.13,0.32
29,0.0,0.53,0.12,0.27,0.17,0.33
30,0.0,0.57,0.11,0.31,0.17,0.33
31,0.0,0.67,0.07,0.34,0.2,0.38
32,0.0,0.54,0.02,0.49,0.17,0.64
33,0.0,0.43,0.01,0.58,0.16,0.86
34,0.0,0.24,0.03,0.67,0.13,1.07
35,0.0,0.24,0.03,0.63,0.12,1.09
36,0.0,0.35,0.03,0.61,0.18,1.13
37,0.0,0.38,0.01,0.54,0.15,1.14
38,0.0,0.5,0.0,0.49,0.18,1.11
39,0.0,0.43,0.0,0.43,0.13,1.09
40,0.0,0.47,0.0,0.36,0.16,1.03
41,0.0,0.44,0.0,0.39,0.13,1.12
42,0.0,0.48,0.0,0.48,0.11,1.2
43,0.0,0.49,0.0,0.62,0.08,1.31
44,0.0,0.51,0.0,0.56,0.12,1.09
45,0.0,0.55,0.0,0.41,0.17,0.88
46,0.0,0.51,0.0,0.24,0.2,0.66
47,0.0,0.45,0.0,0.27,0.14,0.74
48,0.0,0.34,0.0,0.37,0.09,0.71
49,0.0,0.27,0.0,0.45,0.04,0.68
50,0.0,0.18,0.0,0.47,0.04,0.64
51,0.0,0.16,0.01,0.43,0.09,0.63
52,0.0,0.18,0.02,0.44,0.11,0.63
