SubjectIdIndex,NumWrong,NumTimeout,username,ServerTime,NumCorrect,TeamArrival,TeamCorrect,TeamDamage,TeamTotal,SI_Index,SI_DM_Index,SI_Role,SubjectId,reschuRun
595,3,2,Nav       ,2024-09-18 11:24:38.757,1,6,1,0,7,595,223,Nav                                               ,11,1
596,0,0,Pilot     ,2024-09-18 11:24:38.770,0,6,1,0,7,596,223,Pilot                                             ,12,1
598,0,0,Nav       ,2024-09-18 11:32:09.290,0,6,0,0,6,598,224,Nav                                               ,11,2
599,0,0,Pilot     ,2024-09-18 11:32:09.303,0,6,0,0,6,599,224,Pilot                                             ,12,2
601,0,2,Nav       ,2024-09-18 11:38:47.630,3,7,3,0,10,601,225,Nav                                               ,11,3
602,0,1,Pilot     ,2024-09-18 11:38:47.653,0,7,3,0,10,602,225,Pilot                                             ,12,3
607,0,0,Pilot     ,2024-09-18 11:55:04.610,0,6,0,2,4,607,227,Pilot                                             ,12,4
608,1,2,Nav       ,2024-09-18 11:55:04.623,0,6,0,2,4,608,227,Nav                                               ,11,4
610,4,1,Nav       ,2024-09-18 12:01:46.013,1,10,1,2,9,610,228,Nav                                               ,11,5
611,0,0,Pilot     ,2024-09-18 12:01:46.030,0,10,1,2,9,611,228,Pilot                                             ,12,5
614,0,1,Pilot     ,2024-09-18 12:11:36.780,0,5,0,0,5,614,230,Pilot                                             ,12,6
615,2,1,Nav       ,2024-09-18 12:11:36.793,0,5,0,0,5,615,230,Nav                                               ,11,6
617,0,3,Nav       ,2024-09-18 12:18:10.510,1,6,1,0,7,617,231,Nav                                               ,11,7
618,0,0,Pilot     ,2024-09-18 12:18:10.523,0,6,1,0,7,618,231,Pilot                                             ,12,7
623,3,2,Nav       ,2024-09-19 10:23:18.910,1,6,1,2,5,623,233,Nav                                               ,13,0
624,0,0,Pilot     ,2024-09-19 10:23:18.927,0,6,1,2,5,624,233,Pilot                                             ,14,0
628,2,1,Nav       ,2024-09-19 10:37:42.230,3,7,3,2,8,628,235,Nav                                               ,13,1
629,0,0,Pilot     ,2024-09-19 10:37:42.243,0,7,3,2,8,629,235,Pilot                                             ,14,1
631,1,1,Nav       ,2024-09-19 10:45:23.877,5,8,5,0,13,631,236,Nav                                               ,13,2
632,0,0,Pilot     ,2024-09-19 10:45:23.893,0,8,5,0,13,632,236,Pilot                                             ,14,2
634,6,0,Nav       ,2024-09-19 10:52:30.787,2,8,2,2,8,634,237,Nav                                               ,13,3
635,0,0,Pilot     ,2024-09-19 10:52:30.800,0,8,2,2,8,635,237,Pilot                                             ,14,3
640,0,0,Pilot     ,2024-09-19 11:10:16.550,0,12,9,0,21,640,239,Pilot                                             ,14,4
641,1,0,Nav       ,2024-09-19 11:10:16.563,9,12,9,0,21,641,239,Nav                                               ,13,4
643,0,0,Nav       ,2024-09-19 11:17:09.077,6,10,6,4,12,643,240,Nav                                               ,13,5
644,0,0,Pilot     ,2024-09-19 11:17:09.093,0,10,6,4,12,644,240,Pilot                                             ,14,5
646,0,0,Nav       ,2024-09-19 11:23:45.313,7,8,7,2,13,646,241,Nav                                               ,13,6
647,0,0,Pilot     ,2024-09-19 11:23:45.327,0,8,7,2,13,647,241,Pilot                                             ,14,6
649,1,0,Nav       ,2024-09-19 11:30:26.237,8,9,8,0,17,649,242,Nav                                               ,13,7
650,0,0,Pilot     ,2024-09-19 11:30:26.247,0,9,8,0,17,650,242,Pilot                                             ,14,7
