zoom,phase,beeps,score,f1,f2,f3,f4,f5,f6
False,discussion_phase_0,,,0.0002,0.0519,0.019,0.0151,0.0196,0.0281
False,reschu_run_0,False,3,0.0003,0.0716,0.0233,0.0197,0.0328,0.0336
False,reschu_run_1,True,11,0.0004,0.0583,0.0242,0.0285,0.042,0.0511
False,reschu_run_2,False,10,0.0004,0.0649,0.0228,0.0265,0.0414,0.0509
False,reschu_run_3,True,14,0.0003,0.0564,0.0233,0.0258,0.0264,0.0462
False,discussion_phase_1,,,0.0002,0.0734,0.0212,0.0201,0.0212,0.027
False,reschu_run_4,False,11,0.001,0.0014,0.034,0.0278,0.0508,0.025
