frame,c1,c2,c3
1,-0.152296565100812,-0.0034777160780610546,0.17029205633217256
2,-0.11745613584466982,0.0176808332793035,0.10167927255143416
3,-0.1206558108343573,0.04214198997397226,0.05959123051268037
4,-0.12673533543121965,0.048316625714037005,0.05778361605598276
5,-0.11980817910180477,0.04944857125639547,0.05542812523073727
6,-0.10276098623673034,0.025486253831683688,0.025120500892500914
7,-0.10362747498982702,0.0032225642461738216,0.0014854690610357317
8,-0.09880878892380078,-0.004908512280068719,-0.022429717801976015
9,-0.10207860525881433,-0.0047428141194640555,-0.0034232444119963053
10,-0.10215585578240408,0.005892172571199629,-0.002143400593998295
11,-0.12101166789811575,0.00543374883447171,0.0018466726961083202
12,-0.1595420433969561,0.038500015606624964,0.019718766231952706
13,-0.13038613460974602,-0.0028802910405275684,0.013060608578765584
14,-0.10413251708943297,-0.012439791957838299,0.009702705289898387
15,-0.08890068896292817,-0.018919943429634597,-0.019694237103848235
16,-0.10871352428745917,0.03454381501700432,-0.020253514726180366
17,-0.13836469958061137,0.06031776876654968,-0.010091029144441637
18,-0.12460704365867654,0.05745218235811259,0.0074770043372713235
19,-0.1287315224909857,0.05397654642538599,-0.0007645620422604302
20,-0.1261975679529988,0.04097559875439927,-0.031989593207785494
21,-0.13132118092844763,0.024601558360410034,-0.07351908708276261
22,-0.11317778601298874,0.006424847376577235,-0.08216225705210045
23,-0.1253682644293115,0.018008862229693653,-0.04878470001823764
24,-0.1314271244727244,-0.010678197890179882,-0.01939432069348391
25,-0.1281290706237541,-0.009005559666422969,-0.003400929098442652
26,-0.09774229970493771,-0.035682366522100196,-0.0283571507605772
27,-0.05137859094726127,-0.03655131630530055,-0.01898244189990803
28,-0.04293514476092407,-0.06460018023247766,-0.015867419108574088
29,-0.02256678509514753,-0.12313567933254034,-0.019907279616302474
30,-0.05030227804879744,-0.18317151607797383,-0.09482517135879033
31,-0.07276518509019106,-0.23801716312414406,-0.16300386846130502
32,-0.11046749454786252,-0.24112187305840885,-0.21781012439450023
33,-0.11225305038752953,-0.236710990378664,-0.2161278929981482
34,-0.09957578095599255,-0.23517575838891105,-0.19722203618455106
35,-0.0861315634713638,-0.22367332024812225,-0.1339521612759485
36,-0.11151499555323119,-0.21458678290581457,-0.15853918618686333
37,-0.13868758569665354,-0.16521939168312286,-0.1740944372003727
38,-0.15252250192638642,-0.15460867680826243,-0.224965421348267
39,-0.12788384059610836,-0.12066898233410765,-0.17584719909797192
40,-0.11665232848734096,-0.13677162201483956,-0.1542134839578842
41,-0.1061402525768855,-0.1410757971695225,-0.1334289506970965
42,-0.10468460095268241,-0.1489609784800792,-0.13355354776432868
43,-0.10288056585276326,-0.145905416886378,-0.133175006653372
44,-0.13549251653454902,-0.15792033974428266,-0.17802710494678947
45,-0.16084400064380672,-0.16210293914945403,-0.19611951642762906
46,-0.18448239021410942,-0.15643231398863341,-0.19417758537282354
47,-0.2166688150859643,-0.1588418570827889,-0.2273973716163263
48,-0.22983961007023232,-0.2061591274332617,-0.2310479459534507
49,-0.21748201037096576,-0.2512818369869157,-0.29042054144754037
50,-0.12067275590930851,-0.2522722621104297,-0.2338893631015395
51,-0.026648027871651082,-0.204573001444418,-0.19263400990433907
52,-0.0037862794065004826,-0.14165051499331574,-0.1382860442024027
53,-0.0038941481786636807,-0.10240603630504683,-0.10891787147078558
54,-0.017146947995647577,-0.10952378254164495,-0.11167548189490437
55,-0.05006968927930332,-0.11124237426748766,-0.14491228820433305
56,-0.07730302369946888,-0.12315252271622629,-0.15525921083885177
57,-0.0987991077494851,-0.08994015214778806,-0.17255094772411925
58,-0.10370404565953247,-0.08472260366385924,-0.1915993378372109
59,-0.12341214719835997,-0.08353365859507847,-0.22383815052780331
60,-0.1577018870666146,-0.10200242703733962,-0.21520021318925406
61,-0.10532753648258532,-0.08396980555983218,-0.10470988140529384
62,-0.06567460364010781,-0.04571159333377007,-0.025810233878651574
63,-0.026422025685749105,-0.011345496171786602,0.002369379736806341
64,-0.057630031237311564,-0.004819243781275135,-0.014365326440944497
