zoom,phase,beeps,score,f1,f2,f3,f4,f5,f6
False,instructional_video_0,,,0.0012,0.0673,0.0225,0.0089,0.0521,0.0327
False,discussion_phase_0,,,0.0003,0.1053,0.015,0.0146,0.0226,0.0185
False,reschu_run_0,False,7,0.0024,0.0791,0.0236,0.0171,0.107,0.0315
False,reschu_run_1,True,17,0.0048,0.0769,0.0222,0.0217,0.263,0.0363
False,reschu_run_2,False,18,0.0047,0.0823,0.0191,0.0161,0.2389,0.0265
False,reschu_run_3,True,19,0.0278,0.0892,0.0203,0.0188,0.3856,0.0381
False,discussion_phase_1,,,0.0003,0.0006,0.0128,0.008,0.0173,0.0165
False,reschu_run_4,False,15,0.0029,0.1051,0.021,0.0141,0.0794,0.024
False,reschu_run_5,True,14,0.0008,0.1052,0.017,0.0172,0.0921,0.0234
