zoom,phase,beeps,score,f1,f2,f3,f4,f5,f6
False,instructional_video_0,,,0.2355,0.036,0.0296,0.0393,0.0707,0.0407
False,discussion_phase_0,,,0.0003,0.1087,0.0172,0.0194,0.0037,0.0212
False,reschu_run_0,False,0,0.0024,0.1002,0.0274,0.0265,0.0376,0.0267
False,reschu_run_1,True,4,0.0035,0.0665,0.0258,0.029,0.0181,0.028
False,reschu_run_2,False,8,0.006,0.0617,0.0255,0.0345,0.0014,0.0342
False,reschu_run_3,True,12,0.0147,0.0682,0.0263,0.0369,0.0024,0.0343
False,discussion_phase_1,,,0.0005,0.1211,0.0177,0.0211,0.0387,0.0223
False,reschu_run_4,False,14,0.0212,0.083,0.0243,0.0268,0.1248,0.0285
False,reschu_run_5,True,16,0.0237,0.0851,0.0306,0.0308,0.007,0.031
False,reschu_run_6,False,20,0.0172,0.0759,0.0234,0.0354,0.024,0.0312
False,reschu_run_7,True,17,0.0073,0.0683,0.0221,0.0329,0.0116,0.0318
