zoom,phase,beeps,score,f1,f2,f3,f4,f5,f6
True,discussion_phase_0,,,0.0009,0.0591,0.0223,0.0294,0.0408,0.0459
True,reschu_run_0,True,18,0.0007,0.1325,0.0236,0.0365,0.0457,0.0601
