zoom,phase,beeps,score,f1,f2,f3,f4,f5,f6
False,instructional_video_0,,,0.0415,0.0565,0.034,0.0396,0.0097,0.0494
False,discussion_phase_0,,,0.0051,0.0862,0.015,0.0141,0.008,0.0215
False,reschu_run_0,False,,0.0005,0.0854,0.014,0.0169,0.0006,0.0298
False,reschu_run_1,True,5,0.0049,0.0844,0.0186,0.0166,0.013,0.0295
False,reschu_run_2,False,1,0.0237,0.0661,0.02,0.02,0.0003,0.0354
False,reschu_run_3,True,10,0.0302,0.0825,0.0188,0.0206,0.0014,0.0353
False,discussion_phase_1,,,0.0078,0.0773,0.0149,0.0153,0.0165,0.0265
False,reschu_run_4,False,3,0.0084,0.0609,0.0228,0.0225,0.0002,0.0438
False,reschu_run_5,True,11,0.0193,0.0616,0.0191,0.0195,0.0109,0.0292
False,reschu_run_6,False,8,0.0347,0.0451,0.0271,0.0461,0.0,0.0479
