frame,f1,f2,f3,f4,f5,f6
1,0.0,0.36,0.45,0.52,0.83,0.0
2,0.0,0.37,0.7,0.44,0.84,0.01
3,0.0,0.34,0.88,0.42,0.88,0.03
4,0.0,0.4,1.01,0.49,0.88,0.07
5,0.0,0.27,1.03,0.55,0.89,0.13
6,0.0,0.23,0.93,0.59,0.74,0.14
7,0.0,0.19,0.78,0.57,0.64,0.1
8,0.0,0.22,0.73,0.61,0.62,0.11
9,0.0,0.26,0.65,0.7,0.77,0.17
10,0.0,0.23,0.59,0.71,0.9,0.22
11,0.0,0.22,0.55,0.73,0.89,0.2
12,0.0,0.21,0.62,0.68,0.87,0.17
13,0.0,0.26,0.63,0.72,0.87,0.16
14,0.0,0.34,0.62,0.73,0.88,0.16
15,0.0,0.4,0.57,0.77,0.89,0.14
16,0.0,0.42,0.57,0.76,0.86,0.15
17,0.0,0.44,0.6,0.8,0.8,0.13
18,0.0,0.41,0.72,0.81,0.75,0.13
19,0.0,0.39,0.78,0.82,0.7,0.11
20,0.0,0.34,0.88,0.88,0.77,0.17
21,0.0,0.26,0.76,0.86,0.8,0.21
22,0.0,0.27,0.74,0.88,0.84,0.23
23,0.0,0.31,0.69,0.83,0.8,0.18
24,0.0,0.31,0.75,0.87,0.82,0.14
25,0.0,0.28,0.66,0.88,0.84,0.14
26,0.0,0.14,0.59,0.86,0.9,0.13
27,0.0,0.1,0.58,0.86,0.95,0.19
28,0.03,0.04,0.69,0.88,1.01,0.23
29,0.03,0.05,0.81,0.86,0.98,0.32
30,0.03,0.07,0.87,0.86,0.96,0.31
31,0.0,0.12,0.79,0.84,0.92,0.3
32,0.0,0.17,0.78,0.98,0.87,0.33
33,0.0,0.21,0.78,1.03,0.77,0.41
34,0.0,0.17,0.95,1.11,0.68,0.49
35,0.0,0.16,1.07,1.11,0.65,0.48
36,0.0,0.26,1.33,1.28,0.76,0.52
37,0.01,0.51,1.4,1.23,0.7,0.5
38,0.03,0.67,1.56,1.16,0.59,0.47
39,0.08,0.71,1.58,1.06,0.46,0.45
40,0.23,0.48,1.71,1.13,0.77,0.48
41,0.21,0.33,1.65,1.29,1.01,0.49
42,0.16,0.14,1.61,1.44,1.08,0.51
43,0.01,0.1,1.61,1.62,0.81,0.58
44,0.0,0.08,1.48,1.67,0.67,0.72
45,0.0,0.08,1.39,1.59,0.66,0.75
46,0.0,0.07,1.23,1.45,0.65,0.71
47,0.0,0.05,1.21,1.37,0.63,0.66
48,0.0,0.05,1.18,1.27,0.67,0.6
49,0.0,0.04,1.34,1.12,0.81,0.51
50,0.0,0.02,1.5,0.9,0.86,0.4
51,0.0,0.01,1.53,0.93,0.84,0.38
52,0.0,0.0,1.44,0.94,0.8,0.4
53,0.0,0.0,1.37,1.0,0.82,0.41
54,0.0,0.0,1.37,0.87,0.81,0.39
55,0.0,0.0,1.35,0.8,0.78,0.32
56,0.0,0.01,1.29,0.79,0.73,0.33
57,0.0,0.06,1.11,0.85,0.78,0.33
58,0.0,0.1,0.98,0.86,0.81,0.3
59,0.0,0.11,1.02,0.79,0.88,0.23
60,0.0,0.07,1.16,0.79,0.84,0.23
61,0.0,0.06,1.32,0.88,0.8,0.33
62,0.0,0.08,1.33,0.98,0.81,0.4
63,0.0,0.1,1.33,0.95,0.81,0.42
64,0.0,0.13,1.23,0.88,0.81,0.4
65,0.0,0.13,1.19,0.85,0.78,0.4
66,0.0,0.12,1.12,0.88,0.83,0.37
67,0.0,0.07,1.13,0.93,0.87,0.37
68,0.0,0.07,1.26,1.06,0.88,0.46
69,0.0,0.06,1.3,1.18,0.84,0.51
70,0.0,0.09,1.3,1.26,0.81,0.55
71,0.03,0.16,1.26,1.15,0.71,0.48
72,0.07,0.32,1.25,1.26,0.61,0.48
73,0.12,0.45,1.17,1.36,0.51,0.49
74,0.18,0.43,1.05,1.58,0.54,0.5
75,0.18,0.3,1.13,1.57,0.64,0.58
76,0.22,0.17,1.16,1.54,0.79,0.63
77,0.24,0.09,1.18,1.48,0.98,0.67
78,0.27,0.04,1.04,1.4,1.04,0.56
79,0.35,0.01,1.04,1.31,1.08,0.47
80,0.35,0.01,1.01,1.37,1.11,0.44
81,0.46,0.0,1.11,1.57,1.29,0.54
82,0.35,0.0,1.1,1.76,1.3,0.62
83,0.35,0.0,1.2,1.78,1.39,0.63
84,0.15,0.03,1.14,1.43,1.35,0.54
85,0.16,0.08,1.15,1.19,1.51,0.44
86,0.07,0.12,1.16,0.95,1.46,0.36
87,0.07,0.11,1.22,0.92,1.41,0.32
88,0.06,0.08,1.27,0.87,1.32,0.28
89,0.13,0.09,1.23,0.87,1.39,0.29
90,0.21,0.08,1.16,0.83,1.5,0.28
91,0.28,0.06,1.08,0.83,1.59,0.32
92,0.23,0.03,1.1,0.81,1.46,0.31
93,0.22,0.01,1.12,0.89,1.34,0.32
94,0.21,0.02,1.14,0.89,1.23,0.31
95,0.27,0.02,1.11,0.9,1.28,0.36
96,0.22,0.04,1.29,0.95,1.32,0.39
97,0.13,0.04,1.36,1.05,1.31,0.41
98,0.12,0.09,1.39,1.15,1.44,0.43
99,0.15,0.12,1.31,1.13,1.48,0.42
100,0.13,0.19,1.31,1.04,1.48,0.41
101,0.05,0.19,1.35,0.98,1.36,0.36
102,0.02,0.16,1.35,0.95,1.32,0.32
103,0.01,0.12,1.32,0.91,1.28,0.3
104,0.02,0.08,1.33,0.88,1.23,0.4
105,0.13,0.04,1.26,0.82,1.28,0.45
106,0.19,0.0,1.25,0.92,1.34,0.52
107,0.32,0.0,1.2,1.01,1.48,0.48
108,0.29,0.0,1.29,1.29,1.42,0.56
109,0.3,0.0,1.3,1.49,1.41,0.61
110,0.23,0.0,1.33,1.67,1.32,0.71
