w0,w1,w2,isc
0.1973776918108297,0.3000940843722245,-0.5029343699246526,-0.26476475749637013
-0.09337845225344435,0.5183783548631964,0.2940892948503537,0.25006694492133735
-0.3558793511312992,0.1173803199486021,-0.027333004323972687,-0.19797402708053155
-0.1032422678166392,0.08116789921397174,-0.2506975510456559,0.19512519754821722
0.027143221677225538,0.27999115268685487,0.31301664753662517,-0.13096527641679137
0.1548120797932581,-0.17950834117505818,-0.1798723089836488,-0.0797688697801192
0.5233208804251352,-0.110343326482119,0.34012336665821774,-0.07112528950929417
0.36039162475353315,0.3386379180201069,-0.0032749444505983166,0.08774954485776976
-0.48826507628195154,0.37519677840576965,0.22472933114939503,-0.033091277598168295
0.0650004391476654,-0.4001695689433367,-0.3634632006803786,-0.028763803508889827
-0.31279878263741934,0.14689008051200553,0.3249429074481583,-0.0031911854661454556
0.0817608737809445,-0.16461443905563392,0.05862982794150502,0.0637139179285908
-0.04346873372107727,-0.004006218768208929,0.07901704530164609,0.05882495195731329
0.09062638262249181,0.01937422962702332,-0.20589144087956535,0.01513746054745066
0.13482492387578807,-0.18010328404226347,0.035210896735755226,0.04064357381296019
-0.09240395345514739,0.029165490038658228,0.05948681083444807,0.022860489643261622
0.05087580891317852,0.011372333901116303,-0.07678844219119818,0.032277268056238484
