zoom,phase,beeps,score,f1,f2,f3,f4,f5,f6
True,instructional_video_0,,,0.1294,0.0761,0.0316,0.044,0.0906,0.044
True,discussion_phase_0,,,0.0039,0.1276,0.0215,0.0216,0.1114,0.0274
True,reschu_run_0,True,5,0.0609,0.087,0.0359,0.0413,0.235,0.0405
True,reschu_run_1,False,6,0.0745,0.1042,0.0243,0.0385,0.3196,0.0349
True,reschu_run_2,True,10,0.0918,0.1234,0.0295,0.0469,0.3914,0.0435
True,reschu_run_3,False,12,0.0501,0.1126,0.024,0.0349,0.3409,0.0325
True,discussion_phase_1,,,0.0022,0.1029,0.0189,0.0175,0.0819,0.0285
True,reschu_run_4,True,13,0.1389,0.0582,0.0292,0.0486,0.4452,0.0406
True,reschu_run_5,False,12,0.1587,0.0882,0.0306,0.049,0.4719,0.0426
True,reschu_run_6,True,16,0.2642,0.0749,0.0375,0.05,0.5328,0.0451
True,reschu_run_7,False,9,0.1408,0.0918,0.0245,0.0407,0.385,0.0406
