zoom,phase,beeps,score,f1,f2,f3,f4,f5,f6
False,instructional_video_0,,,0.4872,0.0942,0.0371,0.0347,0.006,0.0478
False,discussion_phase_0,,,0.0008,0.0957,0.02,0.0171,0.0159,0.0207
False,reschu_run_0,False,8,0.0016,0.0999,0.0196,0.0303,0.0055,0.0377
False,reschu_run_1,True,12,0.0226,0.0747,0.0262,0.0323,0.0067,0.0372
False,reschu_run_2,False,13,0.2651,0.0823,0.0287,0.0302,0.0047,0.044
False,reschu_run_3,True,19,0.1844,0.0688,0.0283,0.0207,0.0051,0.0401
False,discussion_phase_1,,,0.0012,0.1253,0.0157,0.0192,0.0139,0.0191
False,reschu_run_4,False,16,0.0876,0.0972,0.0291,0.0266,0.0021,0.0467
False,reschu_run_5,True,18,0.2478,0.0778,0.0283,0.0355,0.0242,0.0385
False,reschu_run_6,False,12,0.2507,0.1017,0.0295,0.0289,0.0158,0.0378
False,reschu_run_7,True,17,0.1005,0.1086,0.0231,0.0227,0.0161,0.0295
