zoom,phase,beeps,score,f1,f2,f3,f4,f5,f6
False,instructional_video_0,,,0.144,0.0762,0.0309,0.0314,0.0862,0.0558
False,discussion_phase_0,,,0.0048,0.0676,0.0189,0.0195,0.046,0.0328
False,reschu_run_0,False,11,0.014,0.096,0.0218,0.0256,0.0199,0.0411
False,reschu_run_1,True,15,0.1134,0.0595,0.0274,0.0282,0.0027,0.0612
False,reschu_run_2,False,21,0.3281,0.0593,0.0302,0.0525,0.0228,0.0624
False,reschu_run_3,True,15,0.2861,0.063,0.0319,0.0441,0.019,0.0663
