zoom,phase,beeps,score,f1,f2,f3,f4,f5,f6
False,instructional_video_0,,,0.0017,0.0632,0.0252,0.018,0.0006,0.0304
False,discussion_phase_0,,,0.0003,0.0783,0.0206,0.0151,0.0044,0.0234
False,reschu_run_0,False,8,0.0001,0.0603,0.0288,0.0127,0.0,0.0474
False,reschu_run_1,True,14,0.0,0.0494,0.0252,0.0184,0.0001,0.0428
False,reschu_run_2,False,19,0.001,0.0422,0.0238,0.0232,0.0012,0.034
False,reschu_run_3,True,16,0.0001,0.0594,0.0303,0.0204,0.0015,0.0444
False,discussion_phase_1,,,0.0004,0.0862,0.0186,0.0138,0.0021,0.0186
False,reschu_run_4,False,21,0.0008,0.0474,0.0284,0.015,0.0021,0.0464
False,reschu_run_5,True,15,0.0001,0.0685,0.0258,0.0154,0.0009,0.0411
False,reschu_run_6,False,18,0.0,0.0358,0.0268,0.0149,0.0002,0.0428
False,reschu_run_7,True,22,0.0007,0.0459,0.0237,0.0191,0.0006,0.0421
