zoom,phase,beeps,score,f1,f2,f3,f4,f5,f6
False,instructional_video_0,,,0.2002,0.1215,0.0333,0.0279,0.0131,0.0131
False,discussion_phase_0,,,0.0075,0.0686,0.0155,0.0825,0.0331,0.0622
False,reschu_run_0,False,7,0.0229,0.108,0.0279,0.0522,0.0423,0.0479
False,reschu_run_1,True,12,0.0006,0.049,0.0327,0.0159,0.0404,0.0276
False,reschu_run_2,False,14,0.0287,0.1099,0.0291,0.0558,0.0492,0.0474
False,reschu_run_3,True,15,0.0319,0.1193,0.0259,0.0508,0.0339,0.0438
False,discussion_phase_1,,,0.0201,0.0925,0.0214,0.0301,0.0137,0.0263
False,reschu_run_4,False,7,0.0069,0.0494,0.0237,0.0328,0.0499,0.0306
False,reschu_run_5,True,16,0.0374,0.0979,0.0269,0.0479,0.0445,0.0489
False,reschu_run_6,False,16,0.0117,0.0533,0.0201,0.038,0.0353,0.0327
False,reschu_run_7,True,23,0.0477,0.074,0.0303,0.0282,0.051,0.0404
