zoom,phase,beeps,score,f1,f2,f3,f4,f5,f6
True,instructional_video_0,,,0.0004,0.0691,0.043,0.005,0.0401,0.0456
True,reschu_run_0,True,6,0.0006,0.0456,0.0138,0.0131,0.0231,0.0474
True,reschu_run_1,False,8,0.0006,0.0484,0.0158,0.0231,0.0234,0.0322
True,reschu_run_2,True,9,0.0001,0.0206,0.0145,0.0354,0.0469,0.0502
True,discussion_phase_1,,,0.0005,0.0453,0.0102,0.0138,0.0368,0.0153
True,reschu_run_6,True,11,0.0007,0.0186,0.0156,0.0078,0.0241,0.0092
True,reschu_run_7,False,18,0.0006,0.041,0.0202,0.0224,0.0267,0.0181
