frame,f1,f2,f3,f4,f5,f6
1,0.37,1.92,1.14,3.06,0.31,2.23
2,0.52,1.44,1.07,3.01,0.2,1.97
3,0.61,1.22,1.07,3.04,0.18,1.83
4,0.63,1.28,1.17,3.11,0.21,1.77
5,0.63,1.46,1.22,3.1,0.22,1.83
6,0.65,1.71,1.21,3.27,0.22,1.98
7,0.68,1.99,1.19,3.51,0.24,2.16
8,0.71,2.28,1.11,3.62,0.2,2.31
9,0.7,2.41,1.13,3.47,0.17,2.2
10,0.71,2.45,0.98,3.06,0.13,2.22
11,0.72,2.39,0.79,2.74,0.1,2.13
12,0.74,2.53,0.86,2.11,0.14,1.91
13,0.74,2.69,1.06,1.68,0.17,1.52
14,0.64,2.4,1.64,1.37,0.21,1.27
15,0.56,1.97,1.89,1.5,0.16,1.32
16,0.48,1.64,2.2,1.64,0.14,1.38
17,0.5,1.7,2.02,1.72,0.08,1.52
18,0.5,1.86,1.85,2.02,0.06,1.7
19,0.5,1.94,1.62,2.32,0.0,1.89
20,0.54,1.91,1.67,2.54,0.0,1.95
21,0.59,1.77,1.76,2.51,0.0,1.94
22,0.55,1.8,1.71,2.07,0.0,1.72
23,0.48,1.89,1.7,1.59,0.06,1.47
24,0.41,1.74,1.62,0.88,0.14,0.9
25,0.43,1.48,1.79,0.61,0.21,0.58
26,0.42,1.17,1.65,0.46,0.22,0.35
27,0.39,1.18,1.55,0.62,0.18,0.46
28,0.37,1.14,1.4,0.74,0.15,0.56
29,0.31,1.19,1.33,0.89,0.08,0.68
30,0.25,1.22,1.26,1.19,0.05,0.78
31,0.18,1.27,1.18,1.54,0.0,0.88
32,0.17,1.23,1.1,1.91,0.0,0.93
33,0.2,1.25,0.99,2.06,0.0,0.96
34,0.27,1.14,0.82,2.43,0.0,1.07
35,0.33,1.14,0.72,2.65,0.0,1.15
36,0.44,0.72,0.5,2.9,0.0,1.1
37,0.49,0.4,0.29,2.84,0.0,0.97
38,0.52,0.41,0.1,2.65,0.0,0.74
39,0.48,0.83,0.09,2.49,0.0,0.71
40,0.45,1.31,0.14,2.31,0.0,0.64
41,0.46,1.33,0.17,2.58,0.0,0.81
42,0.52,1.21,0.12,2.59,0.0,0.8
43,0.52,0.99,0.14,2.68,0.01,0.86
