frame,f1,f2,f3,f4,f5,f6
1,5.87,0.0,3.98,1.84,2.5,1.27
2,5.98,0.0,3.93,1.89,2.08,1.56
3,5.83,0.0,4.0,1.81,1.75,1.72
4,5.54,0.0,4.13,1.53,1.43,1.76
5,5.72,0.0,4.29,1.11,1.69,1.86
6,6.04,0.0,4.19,0.77,1.91,1.92
7,6.49,0.0,3.95,0.69,2.37,1.97
8,6.67,0.0,3.74,0.7,2.55,1.93
9,6.97,0.0,3.64,0.67,2.73,1.89
10,7.16,0.0,3.66,0.73,2.79,1.94
11,7.08,0.0,3.61,0.91,2.65,2.06
12,6.59,0.0,3.71,0.95,2.23,1.92
13,6.2,0.0,3.63,0.98,1.89,1.69
14,5.95,0.0,3.8,0.8,1.69,1.46
15,6.02,0.0,3.86,0.92,1.7,1.55
16,6.01,0.0,4.28,0.82,1.61,1.58
17,6.06,0.0,4.36,0.74,1.55,1.59
18,6.03,0.0,4.43,0.54,1.48,1.52
19,6.0,0.0,4.16,0.44,1.4,1.5
20,5.97,0.0,3.99,0.49,1.19,1.5
21,5.98,0.0,3.78,0.66,1.11,1.45
22,6.08,0.0,3.55,0.9,1.14,1.44
23,6.16,0.0,3.37,1.01,1.26,1.45
24,6.25,0.0,3.06,1.16,1.35,1.39
25,6.32,0.0,2.87,1.29,1.35,1.34
26,6.25,0.0,2.77,1.51,1.29,1.28
27,6.27,0.0,2.81,1.54,1.38,1.37
28,6.13,0.0,2.88,1.56,1.38,1.29
29,6.08,0.0,2.9,1.6,1.34,1.31
30,5.75,0.0,2.93,1.61,1.05,1.29
31,5.82,0.0,2.83,1.68,1.07,1.49
32,5.76,0.0,2.7,1.62,1.03,1.51
33,5.9,0.0,2.64,1.6,1.12,1.53
34,5.78,0.0,2.65,1.53,1.02,1.43
35,5.97,0.0,2.61,1.57,1.13,1.45
36,6.23,0.0,2.63,1.62,1.23,1.45
37,6.61,0.0,2.64,1.71,1.45,1.49
38,6.79,0.0,2.64,1.73,1.51,1.5
39,6.86,0.0,2.57,1.77,1.55,1.52
40,6.6,0.0,2.58,1.76,1.34,1.46
41,6.35,0.0,2.65,1.8,1.15,1.51
42,6.32,0.0,2.65,1.78,1.21,1.54
43,6.53,0.0,2.58,1.7,1.51,1.57
44,6.69,0.0,2.52,1.64,1.69,1.52
45,6.84,0.0,2.51,1.64,1.9,1.49
46,6.8,0.0,2.43,1.78,2.05,1.59
47,6.85,0.0,2.32,2.01,2.38,1.6
48,6.67,0.0,2.36,2.26,2.27,1.58
49,6.75,0.0,2.54,2.41,2.26,1.54
50,6.8,0.0,2.66,2.44,2.18,1.58
51,6.94,0.0,2.68,2.44,2.28,1.64
52,6.69,0.0,2.65,2.33,2.01,1.55
53,6.48,0.0,2.8,2.19,1.77,1.5
54,6.29,0.0,2.87,2.12,1.59,1.49
55,6.36,0.0,2.82,2.19,1.62,1.63
56,6.29,0.0,2.73,2.21,1.52,1.68
57,6.24,0.0,2.63,2.14,1.43,1.67
58,5.95,0.0,2.65,2.05,1.16,1.56
59,6.03,0.0,2.6,1.99,1.26,1.4
60,5.85,0.0,2.67,2.01,1.13,1.4
61,5.93,0.0,2.69,1.85,1.2,1.29
62,5.97,0.0,2.72,1.85,1.22,1.27
63,6.17,0.0,2.72,1.77,1.37,1.19
64,6.28,0.0,2.73,1.81,1.49,1.2
65,6.33,0.0,2.75,1.76,1.61,1.21
66,6.28,0.0,2.75,1.75,1.79,1.17
