,name,start_idx,start_frame,finish_idx,finish_frame,video_cnt
0,instructional_video_0,6918,6938.0,25755,25775.0,0
1,discussion_phase_0,45502,45522.0,54500,54520.0,0
2,reschu_run_0,55416,55436.0,64416,64436.0,0
3,reschu_run_1,69286,69306.0,78284,78304.0,0
4,reschu_run_2,82364,82384.0,91364,91384.0,0
5,reschu_run_3,94828,94848.0,103827,103847.0,0
6,discussion_phase_1,121655,13045.0,130652,22042.0,1
7,reschu_run_4,131556,22946.0,140554,31944.0,1
8,reschu_run_5,144768,36158.0,153768,45158.0,1
9,reschu_run_6,156808,48198.0,165803,57193.0,1
10,reschu_run_7,170079,61469.0,179076,70466.0,1
