,name,start_idx,start_frame,finish_idx,finish_frame,video_cnt
0,instructional_video_0,4385,4453.0,23226,23294.0,0
1,discussion_phase_0,39791,39859.0,45598,45666.0,0
2,reschu_run_0,46362,46430.0,55362,55430.0,0
3,reschu_run_1,58412,58480.0,67411,67479.0,0
4,reschu_run_2,69306,69374.0,78306,78374.0,0
5,reschu_run_3,80285,80353.0,89285,89353.0,0
6,discussion_phase_1,90785,90853.0,96573,96641.0,0
7,reschu_run_4,97277,97345.0,106277,106345.0,0
8,reschu_run_5,108096,108164.0,117096,117164.0,0
9,reschu_run_6,118653,118721.0,127654,127722.0,0
10,reschu_run_7,130079,130147.0,139079,139147.0,0
