frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
19,  0,  0.300,  0.98,  1, 0.00, 0.00, 2.49, 0.00, 0.17, 0.00, 0.00, 0.00, 0.35, 0.20, 0.00, 0.20, 0.11, 0.06, 0.07, 0.37, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
20,  0,  0.317,  0.98,  1, 0.00, 0.00, 2.45, 0.00, 0.17, 0.02, 0.00, 0.00, 0.39, 0.21, 0.00, 0.21, 0.05, 0.06, 0.10, 0.43, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
21,  0,  0.333,  0.98,  1, 0.00, 0.00, 2.40, 0.00, 0.17, 0.04, 0.00, 0.00, 0.42, 0.18, 0.00, 0.21, 0.00, 0.05, 0.14, 0.47, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
22,  0,  0.350,  0.98,  1, 0.00, 0.00, 2.48, 0.00, 0.19, 0.17, 0.00, 0.00, 0.46, 0.18, 0.00, 0.13, 0.00, 0.03, 0.21, 0.42, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
23,  0,  0.367,  0.98,  1, 0.00, 0.00, 2.48, 0.00, 0.18, 0.27, 0.00, 0.00, 0.46, 0.15, 0.00, 0.06, 0.00, 0.02, 0.29, 0.40, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
24,  0,  0.383,  0.98,  1, 0.00, 0.00, 2.62, 0.00, 0.17, 0.54, 0.00, 0.00, 0.41, 0.16, 0.00, 0.07, 0.09, 0.03, 0.24, 0.36, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
25,  0,  0.400,  0.98,  1, 0.00, 0.00, 2.66, 0.00, 0.16, 0.63, 0.00, 0.00, 0.32, 0.17, 0.00, 0.13, 0.19, 0.05, 0.12, 0.36, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
26,  0,  0.417,  0.98,  1, 0.00, 0.00, 2.80, 0.00, 0.16, 0.80, 0.00, 0.00, 0.26, 0.21, 0.00, 0.18, 0.30, 0.09, 0.00, 0.34, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
27,  0,  0.433,  0.98,  1, 0.00, 0.00, 2.85, 0.00, 0.18, 0.73, 0.00, 0.00, 0.24, 0.13, 0.00, 0.15, 0.26, 0.10, 0.00, 0.36, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
28,  0,  0.450,  0.98,  1, 0.00, 0.00, 2.91, 0.00, 0.19, 0.76, 0.00, 0.00, 0.23, 0.08, 0.00, 0.14, 0.20, 0.11, 0.00, 0.34, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
