,name,start_idx,start_frame,finish_idx,finish_frame,video_cnt
0,instructional_video_0,8948,11056.0,46629,48737.0,0
1,discussion_phase_0,95197,97305.0,113194,115302.0,0
2,reschu_run_0,117476,119584.0,135473,137581.0,0
3,reschu_run_1,150204,152312.0,168201,170309.0,0
4,reschu_run_2,174671,176779.0,192668,194776.0,0
5,reschu_run_3,198186,200294.0,216183,218291.0,0
6,discussion_phase_1,220628,222736.0,238623,240731.0,0
7,reschu_run_4,240356,242464.0,258354,260462.0,0
8,reschu_run_5,262376,264484.0,280372,282480.0,0
9,reschu_run_6,286917,289025.0,304913,307021.0,0
