frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.000,  0.98,  1, 0.81, 0.00, 1.41, 0.92, 0.00, 0.00, 0.04, 0.57, 0.00, 0.56, 0.19, 0.20, 0.00, 0.48, 1.41, 2.05, 1.61, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
2,  0,  0.017,  0.98,  1, 0.82, 0.00, 1.61, 0.57, 0.00, 0.00, 0.18, 0.59, 0.00, 0.41, 0.38, 0.09, 0.00, 0.60, 1.29, 2.27, 1.99, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
3,  0,  0.033,  0.98,  1, 0.85, 0.00, 1.72, 0.34, 0.00, 0.00, 0.24, 0.63, 0.01, 0.26, 0.53, 0.04, 0.00, 0.65, 1.23, 2.34, 2.20, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
4,  0,  0.050,  0.98,  1, 0.84, 0.00, 1.89, 0.30, 0.00, 0.00, 0.25, 0.73, 0.05, 0.18, 0.68, 0.04, 0.00, 0.63, 1.30, 2.27, 2.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
5,  0,  0.067,  0.98,  1, 0.87, 0.00, 2.01, 0.33, 0.00, 0.00, 0.22, 0.83, 0.05, 0.11, 0.68, 0.08, 0.00, 0.67, 1.19, 2.38, 1.78, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
6,  0,  0.083,  0.98,  1, 0.81, 0.00, 2.13, 0.25, 0.00, 0.00, 0.21, 0.95, 0.04, 0.12, 0.71, 0.23, 0.00, 0.70, 1.07, 2.37, 1.55, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
7,  0,  0.100,  0.98,  1, 0.80, 0.00, 2.11, 0.16, 0.00, 0.00, 0.16, 1.01, 0.02, 0.22, 0.70, 0.33, 0.00, 0.76, 0.98, 2.42, 1.50, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
8,  0,  0.117,  0.98,  1, 0.81, 0.00, 2.15, 0.05, 0.00, 0.00, 0.21, 1.06, 0.05, 0.28, 0.67, 0.47, 0.00, 0.74, 1.07, 2.19, 1.54, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
9,  0,  0.133,  0.98,  1, 0.86, 0.00, 2.15, 0.04, 0.00, 0.00, 0.23, 1.02, 0.11, 0.35, 0.62, 0.48, 0.00, 0.73, 1.17, 2.24, 1.56, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
10,  0,  0.150,  0.98,  1, 0.98, 0.00, 2.24, 0.02, 0.00, 0.00, 0.31, 1.02, 0.09, 0.19, 0.69, 0.61, 0.00, 0.71, 1.21, 2.20, 1.52, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
