,name,start_idx,start_frame,finish_idx,finish_frame,video_cnt
0,instructional_video_0,4005,4884.0,22846,23725.0,0
1,discussion_phase_0,42568,43447.0,49448,50327.0,0
2,reschu_run_0,53069,1016.0,62068,10015.0,1
3,reschu_run_1,66140,14087.0,75140,23087.0,1
4,reschu_run_2,78680,26627.0,87680,35627.0,1
5,discussion_phase_1,89367,37314.0,97139,45086.0,1
6,reschu_run_3,98202,46149.0,107202,55149.0,1
7,reschu_run_4,110140,58087.0,119139,67086.0,1
8,reschu_run_5,121261,69208.0,130261,78208.0,1
9,reschu_run_6,132767,80714.0,141768,89715.0,1
