,name,start_idx,start_frame,finish_idx,finish_frame,video_cnt
0,instructional_video_0,4613,4630.0,23449,23466.0,0
1,discussion_phase_0,39138,39155.0,48132,48149.0,0
2,reschu_run_0,49564,49581.0,58556,58573.0,0
3,reschu_run_1,62631,898.0,71630,9897.0,1
4,reschu_run_2,75016,13283.0,84011,22278.0,1
5,reschu_run_3,87185,25452.0,96183,34450.0,1
6,discussion_phase_1,97865,36132.0,106860,45127.0,1
7,reschu_run_4,108122,46389.0,117118,55385.0,1
8,reschu_run_5,120105,58372.0,129102,67369.0,1
9,reschu_run_6,131606,69873.0,140600,78867.0,1
10,reschu_run_7,143247,81514.0,152241,90508.0,1
