,name,start_idx,start_frame,finish_idx,finish_frame,video_cnt
0,instructional_video_0,1835,6277.0,39515,43957.0,0
1,discussion_phase_0,93349,97791.0,111341,115783.0,0
2,reschu_run_0,114178,118620.0,132173,136615.0,0
3,reschu_run_1,144594,149036.0,162586,167028.0,0
4,reschu_run_2,170772,175214.0,188763,193205.0,0
5,reschu_run_3,204135,208577.0,222127,226569.0,0
6,discussion_phase_1,225991,230433.0,243982,248424.0,0
7,reschu_run_4,252862,3767.0,270860,21765.0,1
8,reschu_run_5,279954,30859.0,297944,48849.0,1
9,reschu_run_6,303725,54630.0,321717,72622.0,1
10,reschu_run_7,327761,78666.0,345756,96661.0,1
