,name,start_idx,start_frame,finish_idx,finish_frame,video_cnt
0,instructional_video_0,6488,6518.0,25328,25358.0,0
1,discussion_phase_0,43717,43747.0,50339,50369.0,0
2,reschu_run_0,59322,1389.0,0,30.0,1
3,reschu_run_1,74619,16686.0,83619,25686.0,1
4,reschu_run_2,86043,28110.0,95044,37111.0,1
5,discussion_phase_1,98026,40093.0,105489,47556.0,1
6,reschu_run_3,106177,48244.0,115177,57244.0,1
7,reschu_run_4,117403,59470.0,126403,68470.0,1
8,reschu_run_5,128712,70779.0,137712,79779.0,1
9,reschu_run_6,141153,1218.0,150153,10218.0,2
10,reschu_run_7,152704,12769.0,161704,21769.0,2
