,name,start_idx,start_frame,finish_idx,finish_frame,video_cnt
0,instructional_video_0,5054,5131.0,23891,23968.0,0
1,discussion_phase_0,40937,41014.0,49931,50008.0,0
2,reschu_run_0,51341,51418.0,60340,60417.0,0
3,reschu_run_1,64876,64953.0,73867,73944.0,0
4,reschu_run_2,77285,77362.0,86281,86358.0,0
5,reschu_run_3,89463,89540.0,98455,98532.0,0
6,discussion_phase_1,100720,100797.0,109714,109791.0,0
7,reschu_run_4,110770,110847.0,119765,119842.0,0
8,reschu_run_5,122941,123018.0,131938,132015.0,0
9,reschu_run_6,136205,136282.0,145198,145275.0,0
10,reschu_run_7,148540,148617.0,157531,157608.0,0
