,name,start_idx,start_frame,finish_idx,finish_frame,video_cnt
0,instructional_video_0,4717,4763.0,23557,23603.0,0
1,discussion_phase_0,40302,40348.0,48031,48077.0,0
2,reschu_run_0,48827,48873.0,57826,57872.0,0
3,reschu_run_1,61561,61607.0,70561,70607.0,0
4,reschu_run_2,73085,73131.0,82086,82132.0,0
5,reschu_run_3,84353,84399.0,93353,93399.0,0
6,discussion_phase_1,95648,95694.0,103336,103382.0,0
7,reschu_run_4,104013,104059.0,113013,113059.0,0
8,reschu_run_5,115973,116019.0,124973,125019.0,0
9,reschu_run_6,127321,127367.0,136322,136368.0,0
10,reschu_run_7,138697,138743.0,147696,147742.0,0
