,name,start_idx,start_frame,finish_idx,finish_frame,video_cnt
0,instructional_video_0,10254,14858.0,47935,52539.0,0
1,discussion_phase_0,90769,95373.0,108762,113366.0,0
2,reschu_run_0,112216,116820.0,130208,134812.0,0
3,reschu_run_1,140496,145100.0,158489,163093.0,0
4,reschu_run_2,165728,170332.0,183720,188324.0,0
5,reschu_run_3,190617,195221.0,208608,213212.0,0
6,discussion_phase_1,214164,218768.0,232154,236758.0,0
7,reschu_run_4,234765,239369.0,252758,257362.0,0
8,reschu_run_5,259522,264126.0,277513,282117.0,0
9,reschu_run_6,283388,287992.0,301380,305984.0,0
10,reschu_run_7,306526,311130.0,324520,329124.0,0
