,name,start_idx,start_frame,finish_idx,finish_frame,video_cnt
0,instructional_video_0,13139,16344.0,50819,54024.0,0
1,discussion_phase_0,88463,91668.0,106454,109659.0,0
2,reschu_run_0,108667,111872.0,126661,129866.0,0
3,reschu_run_1,137982,141187.0,155975,159180.0,0
4,reschu_run_2,161870,165075.0,179862,183067.0,0
5,reschu_run_3,185425,188630.0,203417,206622.0,0
6,discussion_phase_1,207213,210418.0,225204,228409.0,0
7,reschu_run_4,227401,230606.0,245392,248597.0,0
8,reschu_run_5,256058,259263.0,274050,277255.0,0
9,reschu_run_6,281097,284302.0,299089,302294.0,0
10,reschu_run_7,305466,308671.0,323457,326662.0,0
