,name,start_idx,start_frame,finish_idx,finish_frame,video_cnt
0,instructional_video_0,6338,6476.0,25174,25312.0,0
1,discussion_phase_0,44872,45010.0,53872,54010.0,0
2,reschu_run_0,67004,1482.0,0,138.0,1
3,reschu_run_1,84324,18802.0,93321,27799.0,1
4,reschu_run_2,96343,30821.0,105339,39817.0,1
5,discussion_phase_1,109141,43619.0,118140,52618.0,1
6,reschu_run_3,119068,53546.0,128066,62544.0,1
7,reschu_run_4,130791,65269.0,139787,74265.0,1
8,reschu_run_5,142681,77159.0,151679,86157.0,1
9,reschu_run_6,155890,1772.0,164888,10770.0,2
10,reschu_run_7,168022,13904.0,177017,22899.0,2
