frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.000,  0.98,  1, 0.13, 0.11, 2.58, 0.00, 1.07, 0.45, 0.21, 0.00, 1.19, 0.93, 0.12, 0.49, 0.00, 0.13, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
2,  0,  0.017,  0.98,  1, 0.20, 0.04, 2.54, 0.00, 0.99, 0.55, 0.49, 0.00, 1.09, 0.84, 0.22, 0.52, 0.17, 0.11, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3,  0,  0.033,  0.98,  1, 0.24, 0.00, 2.51, 0.00, 0.95, 0.55, 0.64, 0.00, 1.04, 0.79, 0.22, 0.55, 0.24, 0.10, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
4,  0,  0.050,  0.98,  1, 0.22, 0.00, 2.57, 0.00, 0.97, 0.63, 0.61, 0.00, 1.14, 0.77, 0.17, 0.52, 0.13, 0.08, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
5,  0,  0.067,  0.98,  1, 0.21, 0.00, 2.66, 0.00, 0.99, 0.82, 0.56, 0.00, 1.21, 0.69, 0.17, 0.37, 0.06, 0.03, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
6,  0,  0.083,  0.98,  1, 0.20, 0.00, 2.77, 0.00, 1.03, 1.04, 0.51, 0.00, 1.28, 0.61, 0.18, 0.26, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
7,  0,  0.100,  0.98,  1, 0.22, 0.00, 2.77, 0.00, 1.08, 1.16, 0.49, 0.00, 1.34, 0.64, 0.15, 0.34, 0.09, 0.05, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
8,  0,  0.117,  0.98,  1, 0.22, 0.00, 2.73, 0.00, 1.11, 1.16, 0.48, 0.00, 1.37, 0.72, 0.16, 0.38, 0.16, 0.11, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
9,  0,  0.133,  0.98,  1, 0.14, 0.00, 2.77, 0.00, 1.17, 1.14, 0.41, 0.02, 1.43, 0.83, 0.15, 0.46, 0.21, 0.19, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
10,  0,  0.150,  0.98,  1, 0.09, 0.00, 2.85, 0.00, 1.19, 1.02, 0.39, 0.03, 1.45, 0.86, 0.13, 0.43, 0.18, 0.22, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
