,name,start_idx,start_frame,finish_idx,finish_frame,video_cnt
0,instructional_video_0,10610,10688.0,29450,29528.0,0
1,discussion_phase_0,53860,53938.0,62857,62935.0,0
2,reschu_run_0,64355,64433.0,73351,73429.0,0
3,reschu_run_1,79488,79566.0,88481,88559.0,0
4,reschu_run_2,94070,94148.0,103068,103146.0,0
5,reschu_run_3,107831,107909.0,116829,116907.0,0
6,discussion_phase_1,119068,119146.0,128064,128142.0,0
7,reschu_run_4,130412,130490.0,139404,139482.0,0
8,reschu_run_5,143334,143412.0,152329,152407.0,0
9,reschu_run_6,156457,156535.0,165454,165532.0,0
10,reschu_run_7,168866,168944.0,177862,177940.0,0
