,name,start_idx,start_frame,finish_idx,finish_frame,video_cnt
0,instructional_video_0,10254,14348.0,47935,52029.0,0
1,discussion_phase_0,90767,94861.0,108765,112859.0,0
2,reschu_run_0,112221,116315.0,130216,134310.0,0
3,reschu_run_1,140506,144600.0,158501,162595.0,0
4,reschu_run_2,165741,169835.0,183731,187825.0,0
5,reschu_run_3,190629,194723.0,208620,212714.0,0
6,discussion_phase_1,214178,218272.0,232169,236263.0,0
7,reschu_run_4,234780,238874.0,252772,256866.0,0
8,reschu_run_5,259536,263630.0,277527,281621.0,0
9,reschu_run_6,283404,287498.0,301394,305488.0,0
10,reschu_run_7,306539,310633.0,324530,328624.0,0
