,name,start_idx,start_frame,finish_idx,finish_frame,video_cnt
0,discussion_phase_0,40253,41456.0,49220,50423.0,0
1,reschu_run_0,50355,51558.0,59355,60558.0,0
2,reschu_run_1,63838,65041.0,72838,74041.0,0
3,reschu_run_2,79628,80831.0,88628,89831.0,0
4,reschu_run_3,93157,94360.0,102157,103360.0,0
5,discussion_phase_1,106506,107709.0,115506,116709.0,0
6,reschu_run_4,116410,117613.0,125410,126613.0,0
7,reschu_run_5,128204,129407.0,137204,138407.0,0
8,reschu_run_6,139678,140881.0,148678,149881.0,0
9,reschu_run_7,151154,152357.0,160155,161358.0,0
