,name,start_idx,start_frame,finish_idx,finish_frame,video_cnt
0,instructional_video_0,13140,17021.0,50821,54702.0,0
1,discussion_phase_0,88466,92347.0,106461,110342.0,0
2,reschu_run_0,108674,112555.0,126670,130551.0,0
3,reschu_run_1,137994,141875.0,155989,159870.0,0
4,reschu_run_2,161883,165764.0,179879,183760.0,0
5,reschu_run_3,185442,189323.0,203437,207318.0,0
6,discussion_phase_1,207234,211115.0,225230,229111.0,0
7,reschu_run_4,227428,231309.0,245423,249304.0,0
8,reschu_run_5,256090,259971.0,274085,277966.0,0
9,reschu_run_6,281133,285014.0,299130,303011.0,0
10,reschu_run_7,305506,309387.0,323503,327384.0,0
