frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.000,  0.82,  1, 0.84, 0.85, 1.86, 1.75, 0.00, 0.26, 0.15, 0.00, 0.03, 0.61, 0.00, 0.00, 0.00, 0.00, 0.83, 1.49, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
2,  0,  0.017,  0.82,  1, 0.68, 0.36, 1.74, 1.64, 0.00, 0.09, 0.06, 0.11, 0.01, 0.48, 0.00, 0.00, 0.00, 0.00, 0.60, 1.61, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
3,  0,  0.033,  0.88,  1, 0.60, 0.10, 1.73, 1.56, 0.00, 0.00, 0.03, 0.20, 0.00, 0.51, 0.13, 0.00, 0.00, 0.00, 0.38, 1.56, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00
4,  0,  0.050,  0.88,  1, 0.54, 0.03, 1.79, 1.48, 0.00, 0.00, 0.07, 0.31, 0.00, 0.65, 0.23, 0.05, 0.00, 0.00, 0.25, 1.48, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00
5,  0,  0.067,  0.88,  1, 0.53, 0.03, 1.84, 1.19, 0.00, 0.00, 0.08, 0.44, 0.00, 0.82, 0.37, 0.12, 0.00, 0.00, 0.17, 1.36, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00
6,  0,  0.083,  0.88,  1, 0.55, 0.11, 1.81, 0.69, 0.00, 0.00, 0.07, 0.55, 0.04, 1.09, 0.51, 0.14, 0.00, 0.00, 0.26, 1.38, 0.36, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
7,  0,  0.100,  0.88,  1, 0.66, 0.23, 1.80, 0.21, 0.00, 0.00, 0.05, 0.60, 0.08, 1.28, 0.65, 0.10, 0.00, 0.00, 0.35, 1.34, 0.66, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
8,  0,  0.117,  0.88,  1, 0.79, 0.23, 1.61, 0.13, 0.00, 0.00, 0.10, 0.65, 0.16, 1.44, 0.90, 0.05, 0.00, 0.00, 0.44, 1.37, 1.34, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
9,  0,  0.133,  0.88,  1, 0.92, 0.12, 1.47, 0.25, 0.00, 0.00, 0.11, 0.67, 0.18, 1.44, 0.93, 0.03, 0.00, 0.00, 0.46, 1.34, 1.69, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
10,  0,  0.150,  0.88,  1, 0.92, 0.00, 1.28, 0.34, 0.00, 0.10, 0.15, 0.62, 0.19, 1.40, 1.04, 0.12, 0.00, 0.00, 0.42, 1.29, 2.26, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
11,  0,  0.167,  0.88,  1, 0.87, 0.00, 1.31, 0.24, 0.00, 0.19, 0.17, 0.55, 0.17, 1.33, 0.98, 0.19, 0.02, 0.00, 0.32, 1.14, 2.39, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
12,  0,  0.183,  0.88,  1, 0.64, 0.00, 1.43, 0.13, 0.00, 0.39, 0.24, 0.42, 0.13, 1.27, 0.83, 0.27, 0.09, 0.00, 0.30, 1.15, 2.33, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
13,  0,  0.200,  0.88,  1, 0.49, 0.00, 1.54, 0.04, 0.00, 0.39, 0.26, 0.35, 0.10, 1.22, 0.70, 0.26, 0.14, 0.00, 0.26, 1.22, 2.03, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
14,  0,  0.217,  0.88,  1, 0.32, 0.00, 1.74, 0.00, 0.00, 0.41, 0.34, 0.28, 0.04, 1.13, 0.53, 0.21, 0.17, 0.00, 0.21, 1.38, 1.56, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
15,  0,  0.233,  0.88,  1, 0.28, 0.00, 1.81, 0.00, 0.00, 0.24, 0.37, 0.28, 0.02, 0.98, 0.52, 0.19, 0.14, 0.00, 0.08, 1.39, 1.26, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
16,  0,  0.250,  0.88,  1, 0.22, 0.00, 1.87, 0.00, 0.00, 0.18, 0.40, 0.32, 0.00, 0.96, 0.44, 0.12, 0.14, 0.00, 0.03, 1.32, 1.12, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
