,name,start_idx,start_frame,finish_idx,finish_frame,video_cnt
0,instructional_video_0,6167,6196.0,25007,25036.0,0
1,discussion_phase_0,42773,42802.0,49229,49258.0,0
2,reschu_run_0,50248,50277.0,59248,59277.0,0
3,reschu_run_1,62634,62663.0,71634,71663.0,0
4,reschu_run_2,73975,74004.0,82975,83004.0,0
5,reschu_run_3,85084,85113.0,94084,94113.0,0
6,discussion_phase_1,95372,95401.0,101752,101781.0,0
7,reschu_run_4,102697,102726.0,111697,111726.0,0
8,reschu_run_5,113716,113745.0,122716,122745.0,0
9,reschu_run_6,124660,124689.0,133661,133690.0,0
10,reschu_run_7,135816,921.0,144816,9921.0,1
