frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.000,  0.98,  1, 0.52, 0.65, 2.67, 0.00, 0.00, 1.61, 0.00, 0.00, 0.00, 0.00, 0.00, 0.43, 0.00, 0.00, 0.32, 0.00, 0.46, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
2,  0,  0.017,  0.98,  1, 0.42, 0.25, 2.67, 0.00, 0.00, 1.00, 0.14, 0.00, 0.10, 0.01, 0.00, 0.52, 0.00, 0.00, 0.17, 0.00, 1.48, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
3,  0,  0.033,  0.98,  1, 0.33, 0.03, 2.58, 0.00, 0.00, 0.59, 0.25, 0.00, 0.14, 0.06, 0.00, 0.57, 0.00, 0.00, 0.16, 0.00, 2.35, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
4,  0,  0.050,  0.98,  1, 0.28, 0.00, 2.42, 0.00, 0.00, 0.23, 0.30, 0.00, 0.12, 0.14, 0.00, 0.58, 0.02, 0.00, 0.24, 0.00, 3.01, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
5,  0,  0.067,  0.98,  1, 0.18, 0.00, 2.54, 0.00, 0.00, 0.58, 0.27, 0.00, 0.08, 0.16, 0.00, 0.64, 0.02, 0.00, 0.18, 0.00, 2.81, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
6,  0,  0.083,  0.98,  1, 0.11, 0.00, 2.66, 0.00, 0.00, 0.75, 0.23, 0.00, 0.05, 0.11, 0.00, 0.65, 0.01, 0.00, 0.11, 0.00, 2.56, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
7,  0,  0.100,  0.98,  1, 0.11, 0.00, 2.77, 0.00, 0.00, 1.21, 0.19, 0.00, 0.02, 0.06, 0.00, 0.64, 0.00, 0.00, 0.09, 0.00, 2.08, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
8,  0,  0.117,  0.98,  1, 0.20, 0.04, 2.85, 0.00, 0.00, 1.44, 0.20, 0.00, 0.02, 0.06, 0.00, 0.62, 0.00, 0.00, 0.12, 0.00, 1.84, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
9,  0,  0.133,  0.98,  1, 0.29, 0.07, 2.90, 0.00, 0.00, 1.69, 0.14, 0.00, 0.00, 0.06, 0.00, 0.56, 0.00, 0.00, 0.10, 0.02, 1.32, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
10,  0,  0.150,  0.98,  1, 0.29, 0.08, 2.88, 0.00, 0.00, 1.68, 0.10, 0.00, 0.00, 0.03, 0.00, 0.51, 0.00, 0.00, 0.04, 0.03, 1.08, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
